r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.000e+01 	 3.292e-04 	 3.287e+03 	 1.000e+04 	 1.743e+09 	 2.434e+22 	 9.984e+06 	 1.724e+39 	 1.007e+39 	 7.139e+22
1.000e+01 	 3.323e-04 	 3.285e+03 	 9.906e+03 	 1.741e+09 	 2.423e+22 	 9.886e+06 	 1.724e+39 	 1.007e+39 	 7.108e+22
1.000e+01 	 3.354e-04 	 3.284e+03 	 9.813e+03 	 1.739e+09 	 2.412e+22 	 9.788e+06 	 1.724e+39 	 1.007e+39 	 7.076e+22
1.000e+01 	 3.386e-04 	 3.282e+03 	 9.720e+03 	 1.737e+09 	 2.401e+22 	 9.691e+06 	 1.724e+39 	 1.007e+39 	 7.045e+22
1.000e+01 	 3.418e-04 	 3.280e+03 	 9.629e+03 	 1.735e+09 	 2.390e+22 	 9.596e+06 	 1.723e+39 	 1.007e+39 	 7.014e+22
1.000e+01 	 3.450e-04 	 3.278e+03 	 9.538e+03 	 1.733e+09 	 2.379e+22 	 9.501e+06 	 1.723e+39 	 1.007e+39 	 6.983e+22
1.000e+01 	 3.483e-04 	 3.277e+03 	 9.448e+03 	 1.731e+09 	 2.368e+22 	 9.407e+06 	 1.723e+39 	 1.007e+39 	 6.952e+22
1.000e+01 	 3.515e-04 	 3.275e+03 	 9.359e+03 	 1.730e+09 	 2.357e+22 	 9.315e+06 	 1.722e+39 	 1.006e+39 	 6.922e+22
1.000e+01 	 3.549e-04 	 3.273e+03 	 9.271e+03 	 1.728e+09 	 2.347e+22 	 9.223e+06 	 1.722e+39 	 1.006e+39 	 6.891e+22
1.000e+01 	 3.582e-04 	 3.271e+03 	 9.184e+03 	 1.726e+09 	 2.336e+22 	 9.132e+06 	 1.722e+39 	 1.006e+39 	 6.861e+22
