r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20024550e+01 	 2.102433e-06 	 2.856373e+03 	 1.027709e+05 	 1.315827e+09 	 1.598549e+22 	 1.365951e+09 	 6.322462e+38 	 4.132393e+38 	 3.568032e+22 	 7.016076e+09
1.20025602e+01 	 2.127719e-06 	 2.852187e+03 	 1.015475e+05 	 1.311974e+09 	 1.577226e+22 	 1.347673e+09 	 6.322427e+38 	 4.132389e+38 	 3.522013e+22 	 6.945141e+09
1.20026651e+01 	 2.153309e-06 	 2.848008e+03 	 1.003387e+05 	 1.308132e+09 	 1.556195e+22 	 1.329641e+09 	 6.322391e+38 	 4.132385e+38 	 3.476606e+22 	 6.874910e+09
1.20027699e+01 	 2.179207e-06 	 2.843837e+03 	 9.914435e+04 	 1.304303e+09 	 1.535451e+22 	 1.311851e+09 	 6.322356e+38 	 4.132381e+38 	 3.431802e+22 	 6.805378e+09
1.20028744e+01 	 2.205417e-06 	 2.839672e+03 	 9.796418e+04 	 1.300486e+09 	 1.514990e+22 	 1.294300e+09 	 6.322321e+38 	 4.132377e+38 	 3.387594e+22 	 6.736538e+09
1.20029788e+01 	 2.231941e-06 	 2.835515e+03 	 9.679805e+04 	 1.296680e+09 	 1.494809e+22 	 1.276984e+09 	 6.322286e+38 	 4.132373e+38 	 3.343973e+22 	 6.668383e+09
1.20030831e+01 	 2.258785e-06 	 2.831364e+03 	 9.564580e+04 	 1.292887e+09 	 1.474903e+22 	 1.259901e+09 	 6.322251e+38 	 4.132370e+38 	 3.300931e+22 	 6.600906e+09
1.20031871e+01 	 2.285952e-06 	 2.827221e+03 	 9.450727e+04 	 1.289106e+09 	 1.455268e+22 	 1.243048e+09 	 6.322216e+38 	 4.132366e+38 	 3.258460e+22 	 6.534101e+09
1.20032909e+01 	 2.313445e-06 	 2.823084e+03 	 9.338230e+04 	 1.285336e+09 	 1.435901e+22 	 1.226421e+09 	 6.322181e+38 	 4.132362e+38 	 3.216553e+22 	 6.467960e+09
1.20033946e+01 	 2.341270e-06 	 2.818954e+03 	 9.227071e+04 	 1.281579e+09 	 1.416797e+22 	 1.210017e+09 	 6.322147e+38 	 4.132358e+38 	 3.175201e+22 	 6.402479e+09
1.20034981e+01 	 2.369429e-06 	 2.814832e+03 	 9.117236e+04 	 1.277833e+09 	 1.397955e+22 	 1.193833e+09 	 6.322112e+38 	 4.132354e+38 	 3.134398e+22 	 6.337649e+09
1.20036014e+01 	 2.397926e-06 	 2.810716e+03 	 9.008708e+04 	 1.274099e+09 	 1.379369e+22 	 1.177867e+09 	 6.322077e+38 	 4.132350e+38 	 3.094135e+22 	 6.273465e+09
1.20037046e+01 	 2.426767e-06 	 2.806608e+03 	 8.901472e+04 	 1.270377e+09 	 1.361035e+22 	 1.162114e+09 	 6.322042e+38 	 4.132346e+38 	 3.054406e+22 	 6.209920e+09
1.20038076e+01 	 2.455954e-06 	 2.802506e+03 	 8.795512e+04 	 1.266666e+09 	 1.342952e+22 	 1.146574e+09 	 6.322008e+38 	 4.132343e+38 	 3.015202e+22 	 6.147008e+09
1.20039104e+01 	 2.485493e-06 	 2.798411e+03 	 8.690814e+04 	 1.262967e+09 	 1.325115e+22 	 1.131241e+09 	 6.321973e+38 	 4.132339e+38 	 2.976517e+22 	 6.084723e+09
1.20040130e+01 	 2.515387e-06 	 2.794323e+03 	 8.587362e+04 	 1.259280e+09 	 1.307520e+22 	 1.116115e+09 	 6.321939e+38 	 4.132335e+38 	 2.938345e+22 	 6.023059e+09
1.20041154e+01 	 2.545641e-06 	 2.790242e+03 	 8.485141e+04 	 1.255604e+09 	 1.290165e+22 	 1.101192e+09 	 6.321904e+38 	 4.132331e+38 	 2.900677e+22 	 5.962010e+09
1.20042177e+01 	 2.576259e-06 	 2.786168e+03 	 8.384138e+04 	 1.251940e+09 	 1.273046e+22 	 1.086469e+09 	 6.321870e+38 	 4.132327e+38 	 2.863507e+22 	 5.901569e+09
1.20043198e+01 	 2.607244e-06 	 2.782100e+03 	 8.284336e+04 	 1.248288e+09 	 1.256159e+22 	 1.071943e+09 	 6.321835e+38 	 4.132323e+38 	 2.826828e+22 	 5.841730e+09
1.20044217e+01 	 2.638603e-06 	 2.778040e+03 	 8.185723e+04 	 1.244646e+09 	 1.239502e+22 	 1.057612e+09 	 6.321801e+38 	 4.132319e+38 	 2.790633e+22 	 5.782489e+09
1.20045235e+01 	 2.670339e-06 	 2.773986e+03 	 8.088283e+04 	 1.241017e+09 	 1.223071e+22 	 1.043474e+09 	 6.321767e+38 	 4.132316e+38 	 2.754916e+22 	 5.723838e+09
1.20046250e+01 	 2.702457e-06 	 2.769939e+03 	 7.992003e+04 	 1.237399e+09 	 1.206864e+22 	 1.029525e+09 	 6.321733e+38 	 4.132312e+38 	 2.719671e+22 	 5.665773e+09
1.20047265e+01 	 2.734961e-06 	 2.765899e+03 	 7.896870e+04 	 1.233792e+09 	 1.190876e+22 	 1.015764e+09 	 6.321698e+38 	 4.132308e+38 	 2.684890e+22 	 5.608287e+09
1.20048277e+01 	 2.767856e-06 	 2.761866e+03 	 7.802869e+04 	 1.230196e+09 	 1.175106e+22 	 1.002187e+09 	 6.321664e+38 	 4.132304e+38 	 2.650569e+22 	 5.551374e+09
1.20049288e+01 	 2.801147e-06 	 2.757840e+03 	 7.709986e+04 	 1.226612e+09 	 1.159550e+22 	 9.887921e+08 	 6.321630e+38 	 4.132300e+38 	 2.616700e+22 	 5.495029e+09
1.20050297e+01 	 2.834839e-06 	 2.753821e+03 	 7.618210e+04 	 1.223039e+09 	 1.144205e+22 	 9.755769e+08 	 6.321596e+38 	 4.132296e+38 	 2.583278e+22 	 5.439247e+09
1.20051304e+01 	 2.868936e-06 	 2.749808e+03 	 7.527526e+04 	 1.219478e+09 	 1.129068e+22 	 9.625391e+08 	 6.321562e+38 	 4.132293e+38 	 2.550295e+22 	 5.384022e+09
1.20052310e+01 	 2.903443e-06 	 2.745802e+03 	 7.437921e+04 	 1.215927e+09 	 1.114136e+22 	 9.496760e+08 	 6.321528e+38 	 4.132289e+38 	 2.517747e+22 	 5.329348e+09
1.20053314e+01 	 2.938365e-06 	 2.741803e+03 	 7.349383e+04 	 1.212388e+09 	 1.099407e+22 	 9.369855e+08 	 6.321494e+38 	 4.132285e+38 	 2.485628e+22 	 5.275220e+09
1.20054316e+01 	 2.973707e-06 	 2.737811e+03 	 7.261899e+04 	 1.208860e+09 	 1.084877e+22 	 9.244652e+08 	 6.321461e+38 	 4.132281e+38 	 2.453930e+22 	 5.221633e+09
1.20055317e+01 	 3.009475e-06 	 2.733825e+03 	 7.175456e+04 	 1.205343e+09 	 1.070544e+22 	 9.121127e+08 	 6.321427e+38 	 4.132277e+38 	 2.422650e+22 	 5.168581e+09
1.20056316e+01 	 3.045672e-06 	 2.729846e+03 	 7.090042e+04 	 1.201836e+09 	 1.056406e+22 	 8.999259e+08 	 6.321393e+38 	 4.132273e+38 	 2.391781e+22 	 5.116059e+09
1.20057314e+01 	 3.082305e-06 	 2.725874e+03 	 7.005645e+04 	 1.198341e+09 	 1.042458e+22 	 8.879025e+08 	 6.321359e+38 	 4.132270e+38 	 2.361318e+22 	 5.064062e+09
1.20058309e+01 	 3.119379e-06 	 2.721908e+03 	 6.922253e+04 	 1.194857e+09 	 1.028700e+22 	 8.760403e+08 	 6.321326e+38 	 4.132266e+38 	 2.331255e+22 	 5.012585e+09
1.20059304e+01 	 3.156899e-06 	 2.717950e+03 	 6.839853e+04 	 1.191384e+09 	 1.015128e+22 	 8.643371e+08 	 6.321292e+38 	 4.132262e+38 	 2.301587e+22 	 4.961623e+09
1.20060296e+01 	 3.194871e-06 	 2.713997e+03 	 6.758434e+04 	 1.187922e+09 	 1.001739e+22 	 8.527908e+08 	 6.321259e+38 	 4.132258e+38 	 2.272308e+22 	 4.911170e+09
