r (km)   	 u (km/s) 	 cs (km/s) 	 rho (g/cm3) 	 T (K)    	 P (dyne/cm2) 	 phi      	 L (erg/s) 	 L* (erg/s) 	 E (erg) 
1.133e+01 	 1.056e-05 	 2.741e+03 	 5.854e+04 	 1.212e+09 	 1.279e+22 	 2.595e+08 	 7.989e+38 	 5.058e+38 	 2.747e+22
1.133e+01 	 1.067e-05 	 2.740e+03 	 5.793e+04 	 1.211e+09 	 1.268e+22 	 2.567e+08 	 7.988e+38 	 5.058e+38 	 2.729e+22
1.133e+01 	 1.079e-05 	 2.739e+03 	 5.733e+04 	 1.210e+09 	 1.258e+22 	 2.539e+08 	 7.988e+38 	 5.058e+38 	 2.710e+22
1.133e+01 	 1.090e-05 	 2.738e+03 	 5.673e+04 	 1.209e+09 	 1.248e+22 	 2.511e+08 	 7.988e+38 	 5.058e+38 	 2.692e+22
1.133e+01 	 1.101e-05 	 2.736e+03 	 5.613e+04 	 1.208e+09 	 1.238e+22 	 2.484e+08 	 7.988e+38 	 5.058e+38 	 2.674e+22
1.133e+01 	 1.113e-05 	 2.735e+03 	 5.555e+04 	 1.206e+09 	 1.228e+22 	 2.457e+08 	 7.988e+38 	 5.058e+38 	 2.655e+22
1.133e+01 	 1.125e-05 	 2.734e+03 	 5.497e+04 	 1.205e+09 	 1.218e+22 	 2.430e+08 	 7.988e+38 	 5.058e+38 	 2.637e+22
1.133e+01 	 1.137e-05 	 2.732e+03 	 5.439e+04 	 1.204e+09 	 1.208e+22 	 2.404e+08 	 7.988e+38 	 5.058e+38 	 2.619e+22
1.133e+01 	 1.149e-05 	 2.731e+03 	 5.383e+04 	 1.203e+09 	 1.198e+22 	 2.378e+08 	 7.988e+38 	 5.058e+38 	 2.601e+22
1.134e+01 	 1.161e-05 	 2.730e+03 	 5.326e+04 	 1.202e+09 	 1.188e+22 	 2.352e+08 	 7.988e+38 	 5.058e+38 	 2.583e+22
1.134e+01 	 1.173e-05 	 2.728e+03 	 5.271e+04 	 1.201e+09 	 1.179e+22 	 2.326e+08 	 7.988e+38 	 5.058e+38 	 2.565e+22
1.134e+01 	 1.185e-05 	 2.727e+03 	 5.216e+04 	 1.199e+09 	 1.169e+22 	 2.300e+08 	 7.988e+38 	 5.058e+38 	 2.547e+22
1.134e+01 	 1.198e-05 	 2.726e+03 	 5.161e+04 	 1.198e+09 	 1.159e+22 	 2.275e+08 	 7.988e+38 	 5.058e+38 	 2.529e+22
1.134e+01 	 1.210e-05 	 2.724e+03 	 5.107e+04 	 1.197e+09 	 1.150e+22 	 2.250e+08 	 7.987e+38 	 5.058e+38 	 2.511e+22
1.134e+01 	 1.223e-05 	 2.723e+03 	 5.054e+04 	 1.195e+09 	 1.140e+22 	 2.226e+08 	 7.987e+38 	 5.058e+38 	 2.493e+22
1.134e+01 	 1.236e-05 	 2.721e+03 	 5.001e+04 	 1.194e+09 	 1.131e+22 	 2.201e+08 	 7.987e+38 	 5.058e+38 	 2.476e+22
1.134e+01 	 1.249e-05 	 2.720e+03 	 4.949e+04 	 1.193e+09 	 1.122e+22 	 2.177e+08 	 7.987e+38 	 5.058e+38 	 2.458e+22
1.134e+01 	 1.262e-05 	 2.718e+03 	 4.897e+04 	 1.192e+09 	 1.112e+22 	 2.153e+08 	 7.987e+38 	 5.058e+38 	 2.440e+22
1.134e+01 	 1.276e-05 	 2.717e+03 	 4.846e+04 	 1.190e+09 	 1.103e+22 	 2.130e+08 	 7.987e+38 	 5.058e+38 	 2.423e+22
1.134e+01 	 1.289e-05 	 2.715e+03 	 4.796e+04 	 1.189e+09 	 1.094e+22 	 2.106e+08 	 7.987e+38 	 5.058e+38 	 2.405e+22
1.134e+01 	 1.303e-05 	 2.713e+03 	 4.745e+04 	 1.187e+09 	 1.084e+22 	 2.083e+08 	 7.987e+38 	 5.058e+38 	 2.388e+22
1.134e+01 	 1.316e-05 	 2.712e+03 	 4.696e+04 	 1.186e+09 	 1.075e+22 	 2.060e+08 	 7.987e+38 	 5.058e+38 	 2.370e+22
1.134e+01 	 1.330e-05 	 2.710e+03 	 4.647e+04 	 1.185e+09 	 1.066e+22 	 2.037e+08 	 7.987e+38 	 5.058e+38 	 2.353e+22
1.134e+01 	 1.344e-05 	 2.708e+03 	 4.598e+04 	 1.183e+09 	 1.057e+22 	 2.015e+08 	 7.987e+38 	 5.058e+38 	 2.335e+22
