r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19995516e+06 	 4.149200e+01 	 3.119996e+08 	 6.559427e+03 	 1.569918e+09 	 1.595778e+22 	 7.519713e+06 	 1.553556e+39 	 1.015281e+39 	 4.692001e+22 	 4.006986e+08
1.20002611e+06 	 4.198240e+01 	 3.117841e+08 	 6.481937e+03 	 1.567751e+09 	 1.586494e+22 	 7.426732e+06 	 1.553145e+39 	 1.015045e+39 	 4.665403e+22 	 3.963391e+08
1.20009741e+06 	 4.247857e+01 	 3.115690e+08 	 6.405363e+03 	 1.565588e+09 	 1.577275e+22 	 7.334911e+06 	 1.552732e+39 	 1.014807e+39 	 4.638981e+22 	 3.920267e+08
1.20016908e+06 	 4.298058e+01 	 3.113542e+08 	 6.329693e+03 	 1.563430e+09 	 1.568119e+22 	 7.244234e+06 	 1.552316e+39 	 1.014567e+39 	 4.612734e+22 	 3.877610e+08
1.20024111e+06 	 4.348849e+01 	 3.111397e+08 	 6.254917e+03 	 1.561277e+09 	 1.559027e+22 	 7.154686e+06 	 1.551898e+39 	 1.014326e+39 	 4.586660e+22 	 3.835415e+08
1.20031351e+06 	 4.400237e+01 	 3.109255e+08 	 6.181025e+03 	 1.559128e+09 	 1.549996e+22 	 7.066254e+06 	 1.551476e+39 	 1.014083e+39 	 4.560757e+22 	 3.793676e+08
1.20038628e+06 	 4.452229e+01 	 3.107116e+08 	 6.108006e+03 	 1.556984e+09 	 1.541028e+22 	 6.978924e+06 	 1.551052e+39 	 1.013839e+39 	 4.535024e+22 	 3.752390e+08
1.20045943e+06 	 4.504832e+01 	 3.104981e+08 	 6.035849e+03 	 1.554844e+09 	 1.532121e+22 	 6.892681e+06 	 1.550626e+39 	 1.013592e+39 	 4.509460e+22 	 3.711550e+08
1.20053295e+06 	 4.558054e+01 	 3.102848e+08 	 5.964545e+03 	 1.552709e+09 	 1.523274e+22 	 6.807512e+06 	 1.550196e+39 	 1.013345e+39 	 4.484062e+22 	 3.671153e+08
1.20060685e+06 	 4.611901e+01 	 3.100718e+08 	 5.894083e+03 	 1.550578e+09 	 1.514488e+22 	 6.723404e+06 	 1.549764e+39 	 1.013095e+39 	 4.458829e+22 	 3.631194e+08
1.20068114e+06 	 4.666381e+01 	 3.098591e+08 	 5.824453e+03 	 1.548452e+09 	 1.505761e+22 	 6.640343e+06 	 1.549329e+39 	 1.012844e+39 	 4.433760e+22 	 3.591667e+08
1.20075581e+06 	 4.721501e+01 	 3.096467e+08 	 5.755646e+03 	 1.546329e+09 	 1.497093e+22 	 6.558316e+06 	 1.548891e+39 	 1.012591e+39 	 4.408853e+22 	 3.552569e+08
1.20083087e+06 	 4.777269e+01 	 3.094346e+08 	 5.687652e+03 	 1.544212e+09 	 1.488483e+22 	 6.477310e+06 	 1.548451e+39 	 1.012337e+39 	 4.384107e+22 	 3.513894e+08
1.20090633e+06 	 4.833692e+01 	 3.092228e+08 	 5.620461e+03 	 1.542098e+09 	 1.479931e+22 	 6.397312e+06 	 1.548007e+39 	 1.012080e+39 	 4.359520e+22 	 3.475639e+08
1.20098219e+06 	 4.890777e+01 	 3.090112e+08 	 5.554064e+03 	 1.539989e+09 	 1.471437e+22 	 6.318309e+06 	 1.547561e+39 	 1.011822e+39 	 4.335090e+22 	 3.437799e+08
1.20105845e+06 	 4.948534e+01 	 3.087999e+08 	 5.488451e+03 	 1.537884e+09 	 1.462999e+22 	 6.240290e+06 	 1.547112e+39 	 1.011563e+39 	 4.310816e+22 	 3.400369e+08
1.20113511e+06 	 5.006968e+01 	 3.085889e+08 	 5.423613e+03 	 1.535783e+09 	 1.454617e+22 	 6.163241e+06 	 1.546660e+39 	 1.011301e+39 	 4.286696e+22 	 3.363345e+08
1.20121218e+06 	 5.066089e+01 	 3.083782e+08 	 5.359541e+03 	 1.533686e+09 	 1.446290e+22 	 6.087150e+06 	 1.546205e+39 	 1.011038e+39 	 4.262730e+22 	 3.326723e+08
1.20128967e+06 	 5.125903e+01 	 3.081677e+08 	 5.296226e+03 	 1.531593e+09 	 1.438019e+22 	 6.012007e+06 	 1.545747e+39 	 1.010773e+39 	 4.238915e+22 	 3.290498e+08
1.20136757e+06 	 5.186420e+01 	 3.079575e+08 	 5.233660e+03 	 1.529504e+09 	 1.429801e+22 	 5.937797e+06 	 1.545286e+39 	 1.010507e+39 	 4.215250e+22 	 3.254666e+08
1.20144590e+06 	 5.247648e+01 	 3.077475e+08 	 5.171832e+03 	 1.527419e+09 	 1.421638e+22 	 5.864511e+06 	 1.544822e+39 	 1.010238e+39 	 4.191734e+22 	 3.219223e+08
1.20152465e+06 	 5.309594e+01 	 3.075378e+08 	 5.110735e+03 	 1.525338e+09 	 1.413529e+22 	 5.792135e+06 	 1.544356e+39 	 1.009968e+39 	 4.168366e+22 	 3.184165e+08
1.20160382e+06 	 5.372266e+01 	 3.073284e+08 	 5.050359e+03 	 1.523261e+09 	 1.405472e+22 	 5.720660e+06 	 1.543886e+39 	 1.009696e+39 	 4.145143e+22 	 3.149488e+08
1.20168343e+06 	 5.435675e+01 	 3.071191e+08 	 4.990697e+03 	 1.521188e+09 	 1.397467e+22 	 5.650073e+06 	 1.543413e+39 	 1.009422e+39 	 4.122066e+22 	 3.115187e+08
1.20176348e+06 	 5.499827e+01 	 3.069102e+08 	 4.931739e+03 	 1.519119e+09 	 1.389515e+22 	 5.580364e+06 	 1.542937e+39 	 1.009147e+39 	 4.099131e+22 	 3.081259e+08
1.20184397e+06 	 5.564732e+01 	 3.067014e+08 	 4.873478e+03 	 1.517053e+09 	 1.381613e+22 	 5.511520e+06 	 1.542458e+39 	 1.008869e+39 	 4.076339e+22 	 3.047700e+08
1.20192490e+06 	 5.630398e+01 	 3.064930e+08 	 4.815906e+03 	 1.514991e+09 	 1.373763e+22 	 5.443533e+06 	 1.541976e+39 	 1.008590e+39 	 4.053686e+22 	 3.014505e+08
1.20200629e+06 	 5.696834e+01 	 3.062847e+08 	 4.759013e+03 	 1.512933e+09 	 1.365963e+22 	 5.376390e+06 	 1.541491e+39 	 1.008309e+39 	 4.031174e+22 	 2.981671e+08
1.20208812e+06 	 5.764049e+01 	 3.060766e+08 	 4.702792e+03 	 1.510878e+09 	 1.358213e+22 	 5.310081e+06 	 1.541003e+39 	 1.008026e+39 	 4.008799e+22 	 2.949194e+08
1.20217041e+06 	 5.832053e+01 	 3.058688e+08 	 4.647236e+03 	 1.508827e+09 	 1.350512e+22 	 5.244596e+06 	 1.540512e+39 	 1.007741e+39 	 3.986562e+22 	 2.917069e+08
1.20225315e+06 	 5.900854e+01 	 3.056613e+08 	 4.592336e+03 	 1.506780e+09 	 1.342861e+22 	 5.179925e+06 	 1.540018e+39 	 1.007454e+39 	 3.964460e+22 	 2.885294e+08
1.20233637e+06 	 5.970461e+01 	 3.054539e+08 	 4.538085e+03 	 1.504736e+09 	 1.335257e+22 	 5.116057e+06 	 1.539520e+39 	 1.007165e+39 	 3.942492e+22 	 2.853865e+08
1.20242006e+06 	 6.040884e+01 	 3.052467e+08 	 4.484474e+03 	 1.502696e+09 	 1.327702e+22 	 5.052982e+06 	 1.539019e+39 	 1.006875e+39 	 3.920657e+22 	 2.822778e+08
1.20250424e+06 	 6.112132e+01 	 3.050398e+08 	 4.431497e+03 	 1.500659e+09 	 1.320194e+22 	 4.990690e+06 	 1.538515e+39 	 1.006582e+39 	 3.898953e+22 	 2.792029e+08
1.20258889e+06 	 6.184215e+01 	 3.048330e+08 	 4.379145e+03 	 1.498625e+09 	 1.312733e+22 	 4.929171e+06 	 1.538008e+39 	 1.006288e+39 	 3.877379e+22 	 2.761614e+08
1.20267403e+06 	 6.257142e+01 	 3.046265e+08 	 4.327413e+03 	 1.496595e+09 	 1.305319e+22 	 4.868417e+06 	 1.537497e+39 	 1.005991e+39 	 3.855935e+22 	 2.731531e+08
1.20275966e+06 	 6.330924e+01 	 3.044201e+08 	 4.276291e+03 	 1.494568e+09 	 1.297951e+22 	 4.808416e+06 	 1.536984e+39 	 1.005693e+39 	 3.834618e+22 	 2.701774e+08
