logMdot 	 Fbs         	 Lbs        
17.20   	 2.128009e+25 	 3.851508e+38
17.25   	 2.148123e+25 	 3.886173e+38
17.30   	 2.164442e+25 	 3.924547e+38
17.35   	 2.191688e+25 	 3.968253e+38
17.40   	 2.217559e+25 	 4.016790e+38
17.45   	 2.255210e+25 	 4.072093e+38
17.50   	 2.282855e+25 	 4.132409e+38
17.55   	 2.321543e+25 	 4.200788e+38
17.60   	 2.364291e+25 	 4.277264e+38
17.65   	 2.411097e+25 	 4.362687e+38
17.70   	 2.463941e+25 	 4.458329e+38
17.75   	 2.522988e+25 	 4.565309e+38
17.80   	 2.587889e+25 	 4.684754e+38
17.85   	 2.662987e+25 	 4.818900e+38
17.90   	 2.744870e+25 	 4.968553e+38
17.95   	 2.838644e+25 	 5.136524e+38
18.00   	 2.942501e+25 	 5.324278e+38
18.05   	 3.059371e+25 	 5.534652e+38
18.10   	 3.191521e+25 	 5.770548e+38
18.15   	 3.330898e+25 	 6.031839e+38
18.20   	 3.497153e+25 	 6.327679e+38
18.25   	 3.672140e+25 	 6.654733e+38
18.30   	 3.881957e+25 	 7.025688e+38
18.35   	 4.109463e+25 	 7.437376e+38
18.40   	 4.364520e+25 	 7.896728e+38
18.45   	 4.643774e+25 	 8.404666e+38
18.50   	 4.953043e+25 	 8.962849e+38
18.55   	 5.275468e+25 	 9.556181e+38
18.60   	 5.614625e+25 	 1.015438e+39
18.65   	 5.882915e+25 	 1.065160e+39
18.70   	 6.044186e+25 	 1.094775e+39
18.75   	 6.119817e+25 	 1.108105e+39
18.80   	 6.147542e+25 	 1.113849e+39
18.85   	 6.165720e+25 	 1.116841e+39
18.90   	 6.164915e+25 	 1.117744e+39
18.95   	 6.186848e+25 	 1.120005e+39
19.00   	 6.178999e+25 	 1.119929e+39
17.20   	 2.128009e+25 	 3.851508e+38
17.25   	 2.148123e+25 	 3.886173e+38
17.20   	 2.128009e+25 	 3.851508e+38
17.25   	 2.148123e+25 	 3.886173e+38
17.30   	 2.164442e+25 	 3.924547e+38
17.35   	 2.191688e+25 	 3.968253e+38
17.40   	 2.217559e+25 	 4.016790e+38
17.45   	 2.255210e+25 	 4.072093e+38
17.50   	 2.282855e+25 	 4.132409e+38
17.55   	 2.321543e+25 	 4.200788e+38
17.60   	 2.364291e+25 	 4.277264e+38
17.65   	 2.411097e+25 	 4.362687e+38
17.70   	 2.463941e+25 	 4.458329e+38
17.75   	 2.522988e+25 	 4.565309e+38
17.80   	 2.587889e+25 	 4.684754e+38
17.85   	 2.662987e+25 	 4.818900e+38
17.90   	 2.744870e+25 	 4.968553e+38
17.95   	 2.838644e+25 	 5.136524e+38
18.00   	 2.942501e+25 	 5.324278e+38
18.05   	 3.059371e+25 	 5.534652e+38
18.10   	 3.191521e+25 	 5.770548e+38
18.15   	 3.330898e+25 	 6.031839e+38
18.20   	 3.497153e+25 	 6.327679e+38
18.25   	 3.672140e+25 	 6.654733e+38
18.30   	 3.881957e+25 	 7.025688e+38
18.35   	 4.109463e+25 	 7.437376e+38
18.40   	 4.364520e+25 	 7.896728e+38
18.45   	 4.643774e+25 	 8.404666e+38
18.50   	 4.953043e+25 	 8.962849e+38
18.55   	 5.275468e+25 	 9.556181e+38
18.60   	 5.614625e+25 	 1.015438e+39
18.65   	 5.882915e+25 	 1.065160e+39
18.70   	 6.044186e+25 	 1.094775e+39
18.75   	 6.119817e+25 	 1.108105e+39
18.80   	 6.147542e+25 	 1.113849e+39
18.85   	 6.165720e+25 	 1.116841e+39
18.90   	 6.164915e+25 	 1.117744e+39
18.95   	 6.186848e+25 	 1.120005e+39
19.00   	 6.178999e+25 	 1.119929e+39
17.20   	 2.128009e+25 	 3.851508e+38
17.25   	 2.148123e+25 	 3.886173e+38
17.30   	 2.164442e+25 	 3.924547e+38
17.35   	 2.191688e+25 	 3.968253e+38
17.40   	 2.217559e+25 	 4.016790e+38
17.45   	 2.255210e+25 	 4.072093e+38
17.50   	 2.282855e+25 	 4.132409e+38
17.55   	 2.321543e+25 	 4.200788e+38
17.60   	 2.364291e+25 	 4.277264e+38
17.65   	 2.411097e+25 	 4.362687e+38
17.70   	 2.463941e+25 	 4.458329e+38
17.75   	 2.522988e+25 	 4.565309e+38
17.80   	 2.587889e+25 	 4.684754e+38
17.85   	 2.662987e+25 	 4.818900e+38
17.90   	 2.744870e+25 	 4.968553e+38
17.95   	 2.838644e+25 	 5.136524e+38
18.00   	 2.942501e+25 	 5.324278e+38
18.05   	 3.059371e+25 	 5.534652e+38
18.10   	 3.191521e+25 	 5.770548e+38
18.15   	 3.330898e+25 	 6.031839e+38
18.20   	 3.497153e+25 	 6.327679e+38
18.25   	 3.672140e+25 	 6.654733e+38
18.30   	 3.881957e+25 	 7.025688e+38
18.35   	 4.109463e+25 	 7.437376e+38
18.40   	 4.364520e+25 	 7.896728e+38
18.45   	 4.643774e+25 	 8.404666e+38
18.50   	 4.953043e+25 	 8.962849e+38
18.55   	 5.275468e+25 	 9.556181e+38
18.60   	 5.614625e+25 	 1.015438e+39
18.65   	 5.882915e+25 	 1.065160e+39
18.70   	 6.044186e+25 	 1.094775e+39
18.75   	 6.119817e+25 	 1.108105e+39
18.80   	 6.147542e+25 	 1.113849e+39
18.85   	 6.165720e+25 	 1.116841e+39
18.90   	 6.164915e+25 	 1.117744e+39
18.95   	 6.186848e+25 	 1.120005e+39
19.00   	 6.178999e+25 	 1.119929e+39
17.20   	 2.128009e+25 	 3.851508e+38
17.25   	 2.148123e+25 	 3.886173e+38
17.30   	 2.164442e+25 	 3.924547e+38
17.35   	 2.191688e+25 	 3.968253e+38
17.40   	 2.217559e+25 	 4.016790e+38
17.45   	 2.255210e+25 	 4.072093e+38
