r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	
1.200000e+06 	1.476250e+09 	4.442507e+04 	1.604931e+22 	3.070193e+00 	3.025488e+08 	9.868385e+07 	1.075074e+39 	7.025975e+38 	2.823173e+09 	
1.200016e+06 	1.473391e+09 	4.397803e+04 	1.590797e+22 	3.101308e+00 	3.022556e+08 	9.759782e+07 	1.075053e+39 	7.025890e+38 	2.798225e+09 	
1.200032e+06 	1.470540e+09 	4.353549e+04 	1.576802e+22 	3.132737e+00 	3.019631e+08 	9.652385e+07 	1.075033e+39 	7.025805e+38 	2.773493e+09 	
1.200048e+06 	1.467697e+09 	4.309741e+04 	1.562945e+22 	3.164486e+00 	3.016711e+08 	9.546179e+07 	1.075012e+39 	7.025719e+38 	2.748974e+09 	
1.200064e+06 	1.464863e+09 	4.266373e+04 	1.549225e+22 	3.196555e+00 	3.013797e+08 	9.441153e+07 	1.074991e+39 	7.025633e+38 	2.724667e+09 	
1.200080e+06 	1.462038e+09 	4.223442e+04 	1.535641e+22 	3.228950e+00 	3.010889e+08 	9.337292e+07 	1.074970e+39 	7.025547e+38 	2.700571e+09 	
1.200096e+06 	1.459220e+09 	4.180942e+04 	1.522191e+22 	3.261674e+00 	3.007986e+08 	9.234584e+07 	1.074950e+39 	7.025460e+38 	2.676683e+09 	
1.200112e+06 	1.456411e+09 	4.138871e+04 	1.508873e+22 	3.294728e+00 	3.005089e+08 	9.133015e+07 	1.074929e+39 	7.025373e+38 	2.653001e+09 	
1.200128e+06 	1.453609e+09 	4.097222e+04 	1.495687e+22 	3.328118e+00 	3.002198e+08 	9.032573e+07 	1.074908e+39 	7.025286e+38 	2.629525e+09 	
1.200144e+06 	1.450816e+09 	4.055993e+04 	1.482630e+22 	3.361846e+00 	2.999312e+08 	8.933245e+07 	1.074887e+39 	7.025199e+38 	2.606252e+09 	
1.200161e+06 	1.448032e+09 	4.015179e+04 	1.469702e+22 	3.395916e+00 	2.996432e+08 	8.835019e+07 	1.074866e+39 	7.025112e+38 	2.583180e+09 	
1.200177e+06 	1.445255e+09 	3.974775e+04 	1.456900e+22 	3.430331e+00 	2.993558e+08 	8.737882e+07 	1.074844e+39 	7.025024e+38 	2.560308e+09 	
1.200193e+06 	1.442486e+09 	3.934778e+04 	1.444225e+22 	3.465095e+00 	2.990689e+08 	8.641823e+07 	1.074823e+39 	7.024936e+38 	2.537634e+09 	
1.200209e+06 	1.439726e+09 	3.895184e+04 	1.431673e+22 	3.500211e+00 	2.987826e+08 	8.546829e+07 	1.074802e+39 	7.024847e+38 	2.515157e+09 	
1.200225e+06 	1.436973e+09 	3.855987e+04 	1.419246e+22 	3.535684e+00 	2.984969e+08 	8.452889e+07 	1.074781e+39 	7.024758e+38 	2.492874e+09 	
1.200241e+06 	1.434229e+09 	3.817186e+04 	1.406940e+22 	3.571515e+00 	2.982117e+08 	8.359990e+07 	1.074760e+39 	7.024669e+38 	2.470784e+09 	
1.200257e+06 	1.431493e+09 	3.778774e+04 	1.394755e+22 	3.607710e+00 	2.979271e+08 	8.268121e+07 	1.074738e+39 	7.024580e+38 	2.448886e+09 	
1.200274e+06 	1.428764e+09 	3.740750e+04 	1.382689e+22 	3.644271e+00 	2.976431e+08 	8.177271e+07 	1.074717e+39 	7.024491e+38 	2.427178e+09 	
1.200290e+06 	1.426044e+09 	3.703107e+04 	1.370741e+22 	3.681203e+00 	2.973596e+08 	8.087428e+07 	1.074696e+39 	7.024401e+38 	2.405658e+09 	
1.200306e+06 	1.423332e+09 	3.665844e+04 	1.358910e+22 	3.718509e+00 	2.970767e+08 	7.998580e+07 	1.074674e+39 	7.024310e+38 	2.384324e+09 	
1.200322e+06 	1.420627e+09 	3.628956e+04 	1.347194e+22 	3.756193e+00 	2.967943e+08 	7.910717e+07 	1.074653e+39 	7.024220e+38 	2.363176e+09 	
1.200338e+06 	1.417931e+09 	3.592438e+04 	1.335593e+22 	3.794259e+00 	2.965125e+08 	7.823828e+07 	1.074631e+39 	7.024129e+38 	2.342211e+09 	
1.200354e+06 	1.415242e+09 	3.556289e+04 	1.324105e+22 	3.832711e+00 	2.962313e+08 	7.737902e+07 	1.074609e+39 	7.024038e+38 	2.321428e+09 	
1.200371e+06 	1.412562e+09 	3.520503e+04 	1.312729e+22 	3.871552e+00 	2.959506e+08 	7.652927e+07 	1.074588e+39 	7.023947e+38 	2.300825e+09 	
1.200387e+06 	1.409889e+09 	3.485077e+04 	1.301464e+22 	3.910787e+00 	2.956704e+08 	7.568895e+07 	1.074566e+39 	7.023855e+38 	2.280401e+09 	
1.200403e+06 	1.407224e+09 	3.450008e+04 	1.290309e+22 	3.950419e+00 	2.953909e+08 	7.485793e+07 	1.074544e+39 	7.023763e+38 	2.260155e+09 	
1.200419e+06 	1.404567e+09 	3.415291e+04 	1.279262e+22 	3.990454e+00 	2.951119e+08 	7.403612e+07 	1.074522e+39 	7.023671e+38 	2.240084e+09 	
1.200435e+06 	1.401918e+09 	3.380924e+04 	1.268323e+22 	4.030893e+00 	2.948334e+08 	7.322341e+07 	1.074501e+39 	7.023578e+38 	2.220187e+09 	
1.200452e+06 	1.399276e+09 	3.346903e+04 	1.257490e+22 	4.071743e+00 	2.945556e+08 	7.241971e+07 	1.074479e+39 	7.023485e+38 	2.200464e+09 	
