logMdot 	 Fbs         	 Lbs        
17.20   	 2.138444e+25 	 3.852227e+38
17.25   	 2.146618e+25 	 3.886055e+38
17.20   	 2.138444e+25 	 3.852227e+38
17.25   	 2.146618e+25 	 3.886055e+38
17.30   	 2.168658e+25 	 3.924883e+38
17.35   	 2.192947e+25 	 3.968349e+38
17.40   	 2.220008e+25 	 4.017026e+38
17.45   	 2.249931e+25 	 4.071493e+38
17.50   	 2.283704e+25 	 4.132497e+38
17.55   	 2.321439e+25 	 4.200768e+38
17.60   	 2.363651e+25 	 4.277163e+38
17.65   	 2.410890e+25 	 4.362643e+38
17.70   	 2.463785e+25 	 4.458291e+38
17.75   	 2.522776e+25 	 4.565258e+38
17.80   	 2.588769e+25 	 4.684926e+38
17.85   	 2.662637e+25 	 4.818820e+38
17.90   	 2.745848e+25 	 4.968769e+38
17.95   	 2.838533e+25 	 5.136485e+38
18.00   	 2.942266e+25 	 5.324198e+38
18.05   	 3.058381e+25 	 5.534316e+38
18.10   	 3.188364e+25 	 5.769527e+38
18.15   	 3.333868e+25 	 6.032824e+38
18.20   	 3.496725e+25 	 6.327523e+38
18.25   	 3.678948e+25 	 6.657265e+38
18.30   	 3.882706e+25 	 7.025975e+38
18.35   	 4.110260e+25 	 7.437746e+38
18.40   	 4.363778e+25 	 7.896503e+38
18.45   	 4.644860e+25 	 8.405132e+38
18.50   	 4.953187e+25 	 8.963062e+38
18.55   	 5.282753e+25 	 9.559417e+38
18.60   	 5.611733e+25 	 1.015465e+39
18.65   	 5.887124e+25 	 1.065309e+39
18.70   	 6.053361e+25 	 1.095391e+39
18.75   	 6.127806e+25 	 1.108862e+39
18.80   	 6.160135e+25 	 1.114712e+39
18.85   	 6.176222e+25 	 1.117610e+39
18.90   	 6.185294e+25 	 1.119256e+39
18.95   	 6.190990e+25 	 1.120290e+39
19.00   	 6.194849e+25 	 1.120990e+39
17.15   	 2.111363e+25 	 3.820634e+38
17.20   	 2.128823e+25 	 3.851543e+38
17.25   	 2.147211e+25 	 3.886101e+38
17.30   	 2.169021e+25 	 3.924911e+38
17.35   	 2.192947e+25 	 3.968349e+38
17.40   	 2.220008e+25 	 4.017026e+38
17.45   	 2.249931e+25 	 4.071493e+38
17.50   	 2.283704e+25 	 4.132497e+38
17.55   	 2.321439e+25 	 4.200768e+38
17.60   	 2.363651e+25 	 4.277163e+38
17.65   	 2.410890e+25 	 4.362643e+38
17.70   	 2.463785e+25 	 4.458291e+38
17.75   	 2.522776e+25 	 4.565258e+38
17.80   	 2.588769e+25 	 4.684926e+38
17.85   	 2.662637e+25 	 4.818820e+38
17.90   	 2.745848e+25 	 4.968769e+38
17.95   	 2.838533e+25 	 5.136485e+38
18.00   	 2.942266e+25 	 5.324198e+38
18.05   	 3.058381e+25 	 5.534316e+38
18.10   	 3.188364e+25 	 5.769527e+38
18.15   	 3.333868e+25 	 6.032824e+38
18.20   	 3.496725e+25 	 6.327523e+38
18.25   	 3.678948e+25 	 6.657265e+38
18.30   	 3.882706e+25 	 7.025975e+38
18.35   	 4.110260e+25 	 7.437746e+38
18.40   	 4.363778e+25 	 7.896503e+38
18.45   	 4.644860e+25 	 8.405132e+38
18.50   	 4.953187e+25 	 8.963062e+38
18.55   	 5.282753e+25 	 9.559417e+38
18.60   	 5.611733e+25 	 1.015465e+39
18.65   	 5.887124e+25 	 1.065309e+39
18.70   	 6.053361e+25 	 1.095391e+39
18.75   	 6.127806e+25 	 1.108862e+39
18.80   	 6.160135e+25 	 1.114712e+39
18.85   	 6.176222e+25 	 1.117610e+39
18.90   	 6.185294e+25 	 1.119256e+39
18.95   	 6.190990e+25 	 1.120290e+39
19.00   	 6.194849e+25 	 1.120990e+39
