r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.199638e+06 	1.299109e+09 	1.094802e+05 	1.604931e+22 	1.111104e-01 	2.838169e+08 	2.569727e+09 	5.934033e+38 	3.877472e+38 	7.538357e+09 	3.333333e-01 	
1.199647e+06 	1.295502e+09 	1.082615e+05 	1.584641e+22 	1.123592e-01 	2.834226e+08 	2.537505e+09 	5.934005e+38 	3.877471e+38 	7.467192e+09 	3.333333e-01 	
1.199657e+06 	1.291905e+09 	1.070563e+05 	1.564612e+22 	1.136221e-01 	2.830289e+08 	2.505689e+09 	5.933978e+38 	3.877469e+38 	7.396687e+09 	3.333333e-01 	
1.199666e+06 	1.288319e+09 	1.058645e+05 	1.544841e+22 	1.148992e-01 	2.826357e+08 	2.474274e+09 	5.933951e+38 	3.877467e+38 	7.326838e+09 	3.333333e-01 	
1.199675e+06 	1.284743e+09 	1.046860e+05 	1.525326e+22 	1.161906e-01 	2.822432e+08 	2.443253e+09 	5.933923e+38 	3.877465e+38 	7.257638e+09 	3.333333e-01 	
1.199685e+06 	1.281178e+09 	1.035206e+05 	1.506062e+22 	1.174966e-01 	2.818513e+08 	2.412623e+09 	5.933896e+38 	3.877463e+38 	7.189081e+09 	3.333333e-01 	
1.199694e+06 	1.277623e+09 	1.023682e+05 	1.487046e+22 	1.188172e-01 	2.814601e+08 	2.382378e+09 	5.933869e+38 	3.877461e+38 	7.121161e+09 	3.333333e-01 	
1.199703e+06 	1.274079e+09 	1.012286e+05 	1.468276e+22 	1.201527e-01 	2.810694e+08 	2.352514e+09 	5.933842e+38 	3.877460e+38 	7.053872e+09 	3.333333e-01 	
1.199712e+06 	1.270545e+09 	1.001017e+05 	1.449747e+22 	1.215032e-01 	2.806794e+08 	2.323026e+09 	5.933815e+38 	3.877458e+38 	6.987208e+09 	3.333333e-01 	
1.199722e+06 	1.267022e+09 	9.898734e+04 	1.431458e+22 	1.228689e-01 	2.802899e+08 	2.293908e+09 	5.933788e+38 	3.877456e+38 	6.921165e+09 	3.333333e-01 	
1.199731e+06 	1.263508e+09 	9.788539e+04 	1.413403e+22 	1.242500e-01 	2.799011e+08 	2.265157e+09 	5.933761e+38 	3.877454e+38 	6.855736e+09 	3.333333e-01 	
1.199740e+06 	1.260006e+09 	9.679571e+04 	1.395581e+22 	1.256465e-01 	2.795128e+08 	2.236767e+09 	5.933734e+38 	3.877452e+38 	6.790916e+09 	3.333333e-01 	
1.199749e+06 	1.256513e+09 	9.571816e+04 	1.377988e+22 	1.270588e-01 	2.791252e+08 	2.208735e+09 	5.933707e+38 	3.877450e+38 	6.726699e+09 	3.333333e-01 	
1.199759e+06 	1.253031e+09 	9.465260e+04 	1.360622e+22 	1.284869e-01 	2.787381e+08 	2.181055e+09 	5.933680e+38 	3.877449e+38 	6.663079e+09 	3.333333e-01 	
1.199768e+06 	1.249559e+09 	9.359890e+04 	1.343479e+22 	1.299311e-01 	2.783517e+08 	2.153723e+09 	5.933653e+38 	3.877447e+38 	6.600051e+09 	3.333333e-01 	
1.199777e+06 	1.246097e+09 	9.255694e+04 	1.326557e+22 	1.313916e-01 	2.779658e+08 	2.126735e+09 	5.933627e+38 	3.877445e+38 	6.537610e+09 	3.333333e-01 	
