r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau         	 lambda     
1.20218620e+06 	 8.922397e-01 	 2.937085e+08 	 7.629950e+04 	 1.391240e+09 	 1.604931e+22 	 3.302656e+08 	 8.128423e+38 	 5.317323e+38 	 3.848003e+22 	 5.043730e+09 	 3.333333e-01
1.20219762e+06 	 9.014814e-01 	 2.933647e+08 	 7.551569e+04 	 1.387985e+09 	 1.587795e+22 	 3.264882e+08 	 8.128355e+38 	 5.317306e+38 	 3.808634e+22 	 4.999247e+09 	 3.333333e-01
1.20220902e+06 	 9.108187e-01 	 2.930215e+08 	 7.473993e+04 	 1.384740e+09 	 1.570850e+22 	 3.227541e+08 	 8.128287e+38 	 5.317288e+38 	 3.769691e+22 	 4.955150e+09 	 3.333333e-01
1.20222042e+06 	 9.202528e-01 	 2.926789e+08 	 7.397213e+04 	 1.381503e+09 	 1.554095e+22 	 3.190630e+08 	 8.128219e+38 	 5.317270e+38 	 3.731167e+22 	 4.911434e+09 	 3.333333e-01
1.20223180e+06 	 9.297846e-01 	 2.923368e+08 	 7.321223e+04 	 1.378275e+09 	 1.537527e+22 	 3.154143e+08 	 8.128152e+38 	 5.317252e+38 	 3.693060e+22 	 4.868097e+09 	 3.333333e-01
1.20224318e+06 	 9.394152e-01 	 2.919952e+08 	 7.246013e+04 	 1.375057e+09 	 1.521144e+22 	 3.118076e+08 	 8.128084e+38 	 5.317234e+38 	 3.655363e+22 	 4.825135e+09 	 3.333333e-01
1.20225454e+06 	 9.491456e-01 	 2.916542e+08 	 7.171575e+04 	 1.371847e+09 	 1.504944e+22 	 3.082423e+08 	 8.128016e+38 	 5.317217e+38 	 3.618072e+22 	 4.782546e+09 	 3.333333e-01
1.20226590e+06 	 9.589767e-01 	 2.913137e+08 	 7.097903e+04 	 1.368646e+09 	 1.488925e+22 	 3.047180e+08 	 8.127948e+38 	 5.317199e+38 	 3.581182e+22 	 4.740326e+09 	 3.333333e-01
1.20227724e+06 	 9.689097e-01 	 2.909738e+08 	 7.024987e+04 	 1.365454e+09 	 1.473085e+22 	 3.012342e+08 	 8.127880e+38 	 5.317181e+38 	 3.544690e+22 	 4.698471e+09 	 3.333333e-01
1.20228858e+06 	 9.789456e-01 	 2.906344e+08 	 6.952820e+04 	 1.362270e+09 	 1.457421e+22 	 2.977904e+08 	 8.127812e+38 	 5.317163e+38 	 3.508590e+22 	 4.656980e+09 	 3.333333e-01
1.20229990e+06 	 9.890855e-01 	 2.902956e+08 	 6.881394e+04 	 1.359096e+09 	 1.441932e+22 	 2.943862e+08 	 8.127744e+38 	 5.317145e+38 	 3.472878e+22 	 4.615848e+09 	 3.333333e-01
1.20231122e+06 	 9.993304e-01 	 2.899573e+08 	 6.810703e+04 	 1.355930e+09 	 1.426616e+22 	 2.910211e+08 	 8.127677e+38 	 5.317127e+38 	 3.437551e+22 	 4.575073e+09 	 3.333333e-01
1.20232252e+06 	 1.009681e+00 	 2.896196e+08 	 6.740737e+04 	 1.352773e+09 	 1.411471e+22 	 2.876948e+08 	 8.127609e+38 	 5.317109e+38 	 3.402604e+22 	 4.534651e+09 	 3.333333e-01
1.20233382e+06 	 1.020140e+00 	 2.892824e+08 	 6.671491e+04 	 1.349625e+09 	 1.396494e+22 	 2.844066e+08 	 8.127541e+38 	 5.317091e+38 	 3.368033e+22 	 4.494580e+09 	 3.333333e-01
1.20234510e+06 	 1.030706e+00 	 2.889458e+08 	 6.602955e+04 	 1.346486e+09 	 1.381685e+22 	 2.811562e+08 	 8.127473e+38 	 5.317073e+38 	 3.333833e+22 	 4.454857e+09 	 3.333333e-01
1.20235638e+06 	 1.041382e+00 	 2.886097e+08 	 6.535124e+04 	 1.343355e+09 	 1.367040e+22 	 2.779432e+08 	 8.127405e+38 	 5.317055e+38 	 3.299999e+22 	 4.415478e+09 	 3.333333e-01
1.20236764e+06 	 1.052169e+00 	 2.882741e+08 	 6.467989e+04 	 1.340233e+09 	 1.352558e+22 	 2.747670e+08 	 8.127338e+38 	 5.317037e+38 	 3.266529e+22 	 4.376441e+09 	 3.333333e-01
1.20237890e+06 	 1.063068e+00 	 2.879391e+08 	 6.401544e+04 	 1.337120e+09 	 1.338237e+22 	 2.716274e+08 	 8.127270e+38 	 5.317019e+38 	 3.233417e+22 	 4.337742e+09 	 3.333333e-01
