r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.239523e+07 	1.549564e+07 	5.355013e-05 	1.454823e+14 	3.099701e+07 	3.099704e+07 	2.000000e+00 	2.956240e+38 	2.878337e+38 	1.258104e+02 	3.332660e-01 	sonic point
1.244982e+07 	1.541868e+07 	5.268394e-05 	1.426142e+14 	3.122907e+07 	3.091997e+07 	2.000099e+00 	2.955413e+38 	2.877873e+38 	1.243484e+02 	3.332645e-01 	
1.250466e+07 	1.534217e+07 	5.183264e-05 	1.398053e+14 	3.146234e+07 	3.084316e+07 	2.000395e+00 	2.954590e+38 	2.877411e+38 	1.229052e+02 	3.332630e-01 	
1.255974e+07 	1.526612e+07 	5.099596e-05 	1.370542e+14 	3.169682e+07 	3.076662e+07 	2.000887e+00 	2.953771e+38 	2.876953e+38 	1.214808e+02 	3.332615e-01 	
1.261505e+07 	1.519051e+07 	5.017364e-05 	1.343599e+14 	3.193252e+07 	3.069034e+07 	2.001575e+00 	2.952957e+38 	2.876496e+38 	1.200747e+02 	3.332599e-01 	
1.267062e+07 	1.511535e+07 	4.936541e-05 	1.317210e+14 	3.216943e+07 	3.061432e+07 	2.002456e+00 	2.952147e+38 	2.876043e+38 	1.186868e+02 	3.332583e-01 	
1.272643e+07 	1.504063e+07 	4.857102e-05 	1.291363e+14 	3.240756e+07 	3.053856e+07 	2.003530e+00 	2.951341e+38 	2.875592e+38 	1.173168e+02 	3.332567e-01 	
1.278248e+07 	1.496636e+07 	4.779022e-05 	1.266048e+14 	3.264692e+07 	3.046306e+07 	2.004796e+00 	2.950540e+38 	2.875143e+38 	1.159645e+02 	3.332551e-01 	
1.283878e+07 	1.489251e+07 	4.702277e-05 	1.241252e+14 	3.288749e+07 	3.038781e+07 	2.006252e+00 	2.949743e+38 	2.874697e+38 	1.146296e+02 	3.332534e-01 	
1.289533e+07 	1.481911e+07 	4.626843e-05 	1.216965e+14 	3.312928e+07 	3.031283e+07 	2.007899e+00 	2.948950e+38 	2.874254e+38 	1.133118e+02 	3.332517e-01 	
