r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.19999882e+06 	 2.381677e-01 	 2.863013e+08 	 1.018384e+05 	 1.321952e+09 	 1.604931e+22 	 1.202018e+09 	 6.427800e+38 	 4.200784e+38 	 3.562664e+22 	 6.938550e+09
1.20000832e+06 	 2.407423e-01 	 2.859266e+08 	 1.007475e+05 	 1.318495e+09 	 1.585803e+22 	 1.187607e+09 	 6.427767e+38 	 4.200780e+38 	 3.521932e+22 	 6.875335e+09
1.20001782e+06 	 2.433447e-01 	 2.855525e+08 	 9.966829e+04 	 1.315047e+09 	 1.566908e+22 	 1.173369e+09 	 6.427733e+38 	 4.200776e+38 	 3.481677e+22 	 6.812688e+09
1.20002729e+06 	 2.459753e-01 	 2.851790e+08 	 9.860062e+04 	 1.311608e+09 	 1.548243e+22 	 1.159302e+09 	 6.427700e+38 	 4.200772e+38 	 3.441893e+22 	 6.750602e+09
1.20003676e+06 	 2.486343e-01 	 2.848060e+08 	 9.754439e+04 	 1.308179e+09 	 1.529805e+22 	 1.145404e+09 	 6.427667e+38 	 4.200768e+38 	 3.402575e+22 	 6.689073e+09
1.20004621e+06 	 2.513221e-01 	 2.844335e+08 	 9.649947e+04 	 1.304760e+09 	 1.511591e+22 	 1.131673e+09 	 6.427634e+38 	 4.200764e+38 	 3.363718e+22 	 6.628097e+09
1.20005565e+06 	 2.540389e-01 	 2.840616e+08 	 9.546575e+04 	 1.301350e+09 	 1.493600e+22 	 1.118106e+09 	 6.427601e+38 	 4.200760e+38 	 3.325316e+22 	 6.567667e+09
1.20006507e+06 	 2.567852e-01 	 2.836903e+08 	 9.444310e+04 	 1.297950e+09 	 1.475828e+22 	 1.104703e+09 	 6.427567e+38 	 4.200755e+38 	 3.287364e+22 	 6.507779e+09
1.20007448e+06 	 2.595611e-01 	 2.833195e+08 	 9.343141e+04 	 1.294560e+09 	 1.458272e+22 	 1.091460e+09 	 6.427534e+38 	 4.200751e+38 	 3.249856e+22 	 6.448429e+09
1.20008388e+06 	 2.623670e-01 	 2.829493e+08 	 9.243055e+04 	 1.291179e+09 	 1.440930e+22 	 1.078377e+09 	 6.427501e+38 	 4.200747e+38 	 3.212786e+22 	 6.389612e+09
1.20009326e+06 	 2.652033e-01 	 2.825796e+08 	 9.144042e+04 	 1.287807e+09 	 1.423798e+22 	 1.065450e+09 	 6.427469e+38 	 4.200743e+38 	 3.176150e+22 	 6.331323e+09
1.20010263e+06 	 2.680702e-01 	 2.822105e+08 	 9.046089e+04 	 1.284445e+09 	 1.406875e+22 	 1.052679e+09 	 6.427436e+38 	 4.200739e+38 	 3.139942e+22 	 6.273557e+09
1.20011199e+06 	 2.709681e-01 	 2.818419e+08 	 8.949186e+04 	 1.281092e+09 	 1.390158e+22 	 1.040061e+09 	 6.427403e+38 	 4.200735e+38 	 3.104158e+22 	 6.216310e+09
1.20012133e+06 	 2.738974e-01 	 2.814739e+08 	 8.853320e+04 	 1.277748e+09 	 1.373644e+22 	 1.027594e+09 	 6.427370e+38 	 4.200731e+38 	 3.068791e+22 	 6.159577e+09
1.20013066e+06 	 2.768583e-01 	 2.811064e+08 	 8.758482e+04 	 1.274414e+09 	 1.357330e+22 	 1.015277e+09 	 6.427337e+38 	 4.200727e+38 	 3.033837e+22 	 6.103354e+09
1.20013997e+06 	 2.798513e-01 	 2.807395e+08 	 8.664659e+04 	 1.271090e+09 	 1.341215e+22 	 1.003108e+09 	 6.427304e+38 	 4.200723e+38 	 2.999292e+22 	 6.047636e+09
1.20014927e+06 	 2.828766e-01 	 2.803731e+08 	 8.571841e+04 	 1.267774e+09 	 1.325296e+22 	 9.910849e+08 	 6.427272e+38 	 4.200718e+38 	 2.965151e+22 	 5.992418e+09
1.20015856e+06 	 2.859346e-01 	 2.800073e+08 	 8.480018e+04 	 1.264468e+09 	 1.309571e+22 	 9.792063e+08 	 6.427239e+38 	 4.200714e+38 	 2.931409e+22 	 5.937697e+09
1.20016784e+06 	 2.890257e-01 	 2.796420e+08 	 8.389178e+04 	 1.261171e+09 	 1.294036e+22 	 9.674702e+08 	 6.427207e+38 	 4.200710e+38 	 2.898061e+22 	 5.883467e+09
1.20017710e+06 	 2.921503e-01 	 2.792773e+08 	 8.299312e+04 	 1.257883e+09 	 1.278690e+22 	 9.558750e+08 	 6.427174e+38 	 4.200706e+38 	 2.865102e+22 	 5.829725e+09
1.20018635e+06 	 2.953086e-01 	 2.789131e+08 	 8.210408e+04 	 1.254605e+09 	 1.263530e+22 	 9.444190e+08 	 6.427141e+38 	 4.200702e+38 	 2.832527e+22 	 5.776465e+09
1.20019559e+06 	 2.985010e-01 	 2.785495e+08 	 8.122456e+04 	 1.251336e+09 	 1.248554e+22 	 9.331005e+08 	 6.427109e+38 	 4.200698e+38 	 2.800332e+22 	 5.723685e+09
1.20020481e+06 	 3.017280e-01 	 2.781864e+08 	 8.035447e+04 	 1.248075e+09 	 1.233759e+22 	 9.219178e+08 	 6.427077e+38 	 4.200694e+38 	 2.768512e+22 	 5.671380e+09
1.20021402e+06 	 3.049899e-01 	 2.778238e+08 	 7.949370e+04 	 1.244824e+09 	 1.219145e+22 	 9.108694e+08 	 6.427044e+38 	 4.200690e+38 	 2.737063e+22 	 5.619544e+09
1.20022321e+06 	 3.082870e-01 	 2.774618e+08 	 7.864214e+04 	 1.241582e+09 	 1.204707e+22 	 8.999536e+08 	 6.427012e+38 	 4.200686e+38 	 2.705981e+22 	 5.568175e+09
1.20023240e+06 	 3.116198e-01 	 2.771003e+08 	 7.779971e+04 	 1.238349e+09 	 1.190445e+22 	 8.891688e+08 	 6.426979e+38 	 4.200682e+38 	 2.675262e+22 	 5.517268e+09
1.20024157e+06 	 3.149886e-01 	 2.767394e+08 	 7.696631e+04 	 1.235126e+09 	 1.176355e+22 	 8.785134e+08 	 6.426947e+38 	 4.200677e+38 	 2.644900e+22 	 5.466819e+09
1.20025073e+06 	 3.183939e-01 	 2.763790e+08 	 7.614183e+04 	 1.231911e+09 	 1.162437e+22 	 8.679860e+08 	 6.426915e+38 	 4.200673e+38 	 2.614892e+22 	 5.416824e+09
1.20025987e+06 	 3.218360e-01 	 2.760192e+08 	 7.532618e+04 	 1.228705e+09 	 1.148687e+22 	 8.575849e+08 	 6.426883e+38 	 4.200669e+38 	 2.585234e+22 	 5.367279e+09
1.20026900e+06 	 3.253153e-01 	 2.756599e+08 	 7.451927e+04 	 1.225508e+09 	 1.135103e+22 	 8.473086e+08 	 6.426851e+38 	 4.200665e+38 	 2.555920e+22 	 5.318180e+09
1.20027812e+06 	 3.288322e-01 	 2.753011e+08 	 7.372101e+04 	 1.222320e+09 	 1.121684e+22 	 8.371556e+08 	 6.426818e+38 	 4.200661e+38 	 2.526948e+22 	 5.269523e+09
1.20028723e+06 	 3.323871e-01 	 2.749429e+08 	 7.293129e+04 	 1.219141e+09 	 1.108428e+22 	 8.271245e+08 	 6.426786e+38 	 4.200657e+38 	 2.498313e+22 	 5.221304e+09
1.20029633e+06 	 3.359805e-01 	 2.745852e+08 	 7.215004e+04 	 1.215971e+09 	 1.095332e+22 	 8.172138e+08 	 6.426754e+38 	 4.200653e+38 	 2.470010e+22 	 5.173519e+09
1.20030541e+06 	 3.396127e-01 	 2.742280e+08 	 7.137715e+04 	 1.212810e+09 	 1.082394e+22 	 8.074220e+08 	 6.426722e+38 	 4.200649e+38 	 2.442037e+22 	 5.126164e+09
1.20031448e+06 	 3.432843e-01 	 2.738714e+08 	 7.061254e+04 	 1.209658e+09 	 1.069613e+22 	 7.977478e+08 	 6.426690e+38 	 4.200645e+38 	 2.414390e+22 	 5.079236e+09
1.20032353e+06 	 3.469955e-01 	 2.735153e+08 	 6.985613e+04 	 1.206514e+09 	 1.056987e+22 	 7.881897e+08 	 6.426658e+38 	 4.200641e+38 	 2.387065e+22 	 5.032730e+09
1.20033258e+06 	 3.507468e-01 	 2.731598e+08 	 6.910781e+04 	 1.203380e+09 	 1.044514e+22 	 7.787462e+08 	 6.426626e+38 	 4.200637e+38 	 2.360057e+22 	 4.986644e+09
1.20034161e+06 	 3.545387e-01 	 2.728048e+08 	 6.836752e+04 	 1.200254e+09 	 1.032191e+22 	 7.694161e+08 	 6.426595e+38 	 4.200633e+38 	 2.333362e+22 	 4.940973e+09
1.20035063e+06 	 3.583717e-01 	 2.724503e+08 	 6.763515e+04 	 1.197136e+09 	 1.020018e+22 	 7.601980e+08 	 6.426563e+38 	 4.200628e+38 	 2.306978e+22 	 4.895713e+09
1.20035963e+06 	 3.622460e-01 	 2.720963e+08 	 6.691063e+04 	 1.194028e+09 	 1.007991e+22 	 7.510905e+08 	 6.426531e+38 	 4.200624e+38 	 2.280899e+22 	 4.850862e+09
1.20036863e+06 	 3.661623e-01 	 2.717429e+08 	 6.619387e+04 	 1.190928e+09 	 9.961096e+21 	 7.420922e+08 	 6.426499e+38 	 4.200620e+38 	 2.255124e+22 	 4.806414e+09
1.20037761e+06 	 3.701209e-01 	 2.713900e+08 	 6.548479e+04 	 1.187837e+09 	 9.843717e+21 	 7.332019e+08 	 6.426468e+38 	 4.200616e+38 	 2.229647e+22 	 4.762368e+09
1.20038658e+06 	 3.741223e-01 	 2.710377e+08 	 6.478330e+04 	 1.184755e+09 	 9.727757e+21 	 7.244183e+08 	 6.426436e+38 	 4.200612e+38 	 2.204466e+22 	 4.718719e+09
1.20039554e+06 	 3.781670e-01 	 2.706858e+08 	 6.408933e+04 	 1.181681e+09 	 9.613199e+21 	 7.157402e+08 	 6.426404e+38 	 4.200608e+38 	 2.179578e+22 	 4.675463e+09
1.20040448e+06 	 3.822554e-01 	 2.703346e+08 	 6.340279e+04 	 1.178616e+09 	 9.500026e+21 	 7.071662e+08 	 6.426373e+38 	 4.200604e+38 	 2.154979e+22 	 4.632597e+09
