logMdot 	 Fbs         	 Lbs        
17.20   	 2.138431e+25 	 3.852233e+38
17.25   	 2.147190e+25 	 3.886107e+38
17.30   	 2.168645e+25 	 3.924891e+38
17.35   	 2.192953e+25 	 3.968360e+38
17.40   	 2.220011e+25 	 4.017038e+38
17.45   	 2.249941e+25 	 4.071507e+38
17.50   	 2.283713e+25 	 4.132512e+38
17.55   	 2.321448e+25 	 4.200784e+38
17.60   	 2.363663e+25 	 4.277182e+38
17.65   	 2.410903e+25 	 4.362664e+38
17.70   	 2.463799e+25 	 4.458315e+38
17.75   	 2.522791e+25 	 4.565284e+38
17.80   	 2.588786e+25 	 4.684955e+38
17.85   	 2.662653e+25 	 4.818851e+38
17.90   	 2.745868e+25 	 4.968804e+38
17.95   	 2.838554e+25 	 5.136523e+38
18.00   	 2.942289e+25 	 5.324240e+38
18.05   	 3.058408e+25 	 5.534362e+38
18.10   	 3.188393e+25 	 5.769576e+38
18.15   	 3.333900e+25 	 6.032878e+38
18.20   	 3.496758e+25 	 6.327581e+38
18.25   	 3.678983e+25 	 6.657326e+38
18.30   	 3.882740e+25 	 7.026038e+38
18.35   	 4.110296e+25 	 7.437812e+38
18.40   	 4.363815e+25 	 7.896570e+38
18.45   	 4.644890e+25 	 8.405195e+38
18.50   	 4.953221e+25 	 8.963124e+38
18.55   	 5.282783e+25 	 9.559471e+38
18.60   	 5.611750e+25 	 1.015469e+39
18.65   	 5.887137e+25 	 1.065311e+39
18.70   	 6.053366e+25 	 1.095391e+39
18.75   	 6.127808e+25 	 1.108862e+39
18.80   	 6.160136e+25 	 1.114712e+39
18.85   	 6.176222e+25 	 1.117610e+39
18.90   	 6.185292e+25 	 1.119256e+39
18.95   	 6.190991e+25 	 1.120290e+39
19.00   	 6.194848e+25 	 1.120990e+39
