r (km)        	 u (km/s)    	 cs (km/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20012477e+01 	 5.396753e-06 	 2.432122e+03 	 1.128648e+05 	 1.381628e+09 	 1.591349e+22 	 4.542859e+08 	 7.861303e+38 	 5.137913e+38 	 3.809777e+22 	 7.584309e+09
1.20013339e+01 	 5.458986e-06 	 2.428893e+03 	 1.115764e+05 	 1.377961e+09 	 1.572147e+22 	 4.484782e+08 	 7.861256e+38 	 5.137902e+38 	 3.765455e+22 	 7.509780e+09
1.20014200e+01 	 5.521938e-06 	 2.425669e+03 	 1.103026e+05 	 1.374306e+09 	 1.553188e+22 	 4.427453e+08 	 7.861210e+38 	 5.137891e+38 	 3.721677e+22 	 7.435970e+09
1.20015059e+01 	 5.585615e-06 	 2.422451e+03 	 1.090433e+05 	 1.370662e+09 	 1.534468e+22 	 4.370861e+08 	 7.861163e+38 	 5.137880e+38 	 3.678437e+22 	 7.362874e+09
1.20015918e+01 	 5.650026e-06 	 2.419238e+03 	 1.077985e+05 	 1.367029e+09 	 1.515984e+22 	 4.314998e+08 	 7.861116e+38 	 5.137869e+38 	 3.635728e+22 	 7.290484e+09
1.20016775e+01 	 5.715181e-06 	 2.416032e+03 	 1.065678e+05 	 1.363407e+09 	 1.497732e+22 	 4.259854e+08 	 7.861069e+38 	 5.137857e+38 	 3.593541e+22 	 7.218793e+09
1.20017632e+01 	 5.781087e-06 	 2.412831e+03 	 1.053512e+05 	 1.359797e+09 	 1.479711e+22 	 4.205419e+08 	 7.861022e+38 	 5.137846e+38 	 3.551872e+22 	 7.147796e+09
1.20018487e+01 	 5.847753e-06 	 2.409636e+03 	 1.041485e+05 	 1.356198e+09 	 1.461916e+22 	 4.151685e+08 	 7.860975e+38 	 5.137835e+38 	 3.510713e+22 	 7.077485e+09
1.20019342e+01 	 5.915188e-06 	 2.406447e+03 	 1.029595e+05 	 1.352611e+09 	 1.444346e+22 	 4.098643e+08 	 7.860928e+38 	 5.137824e+38 	 3.470058e+22 	 7.007854e+09
1.20020196e+01 	 5.983401e-06 	 2.403263e+03 	 1.017841e+05 	 1.349035e+09 	 1.426996e+22 	 4.046282e+08 	 7.860882e+38 	 5.137813e+38 	 3.429901e+22 	 6.938896e+09
1.20021048e+01 	 6.052400e-06 	 2.400085e+03 	 1.006221e+05 	 1.345469e+09 	 1.409864e+22 	 3.994596e+08 	 7.860835e+38 	 5.137801e+38 	 3.390234e+22 	 6.870606e+09
1.20021900e+01 	 6.122195e-06 	 2.396913e+03 	 9.947337e+04 	 1.341915e+09 	 1.392948e+22 	 3.943574e+08 	 7.860788e+38 	 5.137790e+38 	 3.351051e+22 	 6.802976e+09
1.20022751e+01 	 6.192795e-06 	 2.393747e+03 	 9.833776e+04 	 1.338372e+09 	 1.376244e+22 	 3.893208e+08 	 7.860741e+38 	 5.137779e+38 	 3.312347e+22 	 6.736001e+09
