logMdot 	 Fbs         	 Lbs        
17.30   	 2.172618e+25 	 3.925527e+38
17.35   	 2.192939e+25 	 3.968682e+38
17.40   	 2.224421e+25 	 4.017846e+38
17.50   	 2.282348e+25 	 4.132789e+38
17.55   	 2.321266e+25 	 4.201247e+38
17.60   	 2.364211e+25 	 4.277832e+38
17.65   	 2.411595e+25 	 4.363396e+38
17.70   	 2.462983e+25 	 4.458866e+38
17.85   	 2.663741e+25 	 4.820091e+38
17.90   	 2.746024e+25 	 4.970003e+38
17.95   	 2.838730e+25 	 5.137913e+38
18.00   	 2.942432e+25 	 5.325842e+38
18.05   	 3.057370e+25 	 5.535890e+38
18.10   	 3.190054e+25 	 5.772282e+38
18.15   	 3.335126e+25 	 6.035907e+38
18.20   	 3.498832e+25 	 6.331516e+38
18.25   	 3.681410e+25 	 6.662211e+38
18.30   	 3.886014e+25 	 7.032377e+38
18.35   	 4.115882e+25 	 7.446680e+38
18.40   	 4.369250e+25 	 7.907812e+38
18.45   	 4.654354e+25 	 8.422075e+38
18.50   	 4.964891e+25 	 8.987514e+38
18.55   	 5.303558e+25 	 9.599055e+38
18.60   	 5.644408e+25 	 1.021678e+39
18.65   	 5.931836e+25 	 1.073368e+39
18.70   	 6.082366e+25 	 1.102353e+39
18.75   	 6.149708e+25 	 1.113287e+39
18.80   	 6.168266e+25 	 1.118021e+39
18.85   	 6.188278e+25 	 1.119907e+39
18.90   	 6.192487e+25 	 1.120975e+39
18.95   	 6.192333e+25 	 1.121462e+39
19.00   	 6.188483e+25 	 1.121496e+39
