Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.45926287  	 6.45930732 
1.01444444  	 6.74650210  	 6.74651099 
1.01888889  	 7.00405995  	 7.00406884 
1.02333333  	 7.24498108  	 7.24498996 
1.02377778  	 7.26829862  	 7.26830751 
1.02428571  	 7.29477382  	 7.29478270 
1.02479365  	 7.32104434  	 7.32105323 
1.02530159  	 7.34709110  	 7.34709999 
1.02580952  	 7.37291861  	 7.37292750 
1.02631746  	 7.39849402  	 7.39850291 
1.02682540  	 7.42380688  	 7.42381577 
1.02733334  	 7.44882691  	 7.44883580 
1.02777778  	 7.47047295  	 7.47048183 
1.03222222  	 7.66987911  	 7.66989867 
