logMdot 	 Edot/LEdd    	 log10(Ts)   
17.50   	 1.01797702  	 7.08128959 
17.60   	 1.01879761  	 7.08502374 
17.70   	 1.01946913  	 7.08036746 
17.80   	 1.01994419  	 7.06786926 
17.90   	 1.02018995  	 7.04796103 
18.00   	 1.02019119  	 7.02099695 
18.10   	 1.01994851  	 6.98730418 
18.20   	 1.01947824  	 6.94728437 
18.30   	 1.01880898  	 6.90150136 
18.40   	 1.01799261  	 6.85116149 
18.50   	 1.01710137  	 6.79822137 
18.60   	 1.01619898  	 6.74447978 
18.70   	 1.01533035  	 6.69128667 
18.80   	 1.01453032  	 6.63983831 
18.90   	 1.01382823  	 6.59128808 
19.00   	 1.01325424  	 6.54685671 
