logMdot 	 Edot/LEdd   	 log10(Ts)  
17.20   	 1.017036   	 7.164682  
17.25   	 1.017433   	 7.191311  
17.30   	 1.017855   	 7.215700  
17.35   	 1.018323   	 7.237602  
17.40   	 1.018818   	 7.257126  
17.45   	 1.019342   	 7.274307  
17.50   	 1.019893   	 7.289122  
17.55   	 1.020465   	 7.301670  
17.60   	 1.021056   	 7.312019  
17.65   	 1.021646   	 7.320320  
17.70   	 1.022239   	 7.326580  
17.75   	 1.022821   	 7.330929  
17.80   	 1.023379   	 7.333445  
17.85   	 1.023909   	 7.334190  
17.90   	 1.024407   	 7.333165  
17.95   	 1.024852   	 7.330477  
18.00   	 1.025243   	 7.326139  
18.05   	 1.025578   	 7.320166  
18.10   	 1.025842   	 7.312602  
18.15   	 1.026041   	 7.303451  
18.20   	 1.026167   	 7.292740  
18.25   	 1.026224   	 7.280481  
18.30   	 1.026202   	 7.266701  
18.35   	 1.026111   	 7.251399  
18.40   	 1.025951   	 7.234603  
18.45   	 1.025719   	 7.216351  
18.50   	 1.025426   	 7.196667  
18.55   	 1.025072   	 7.175617  
18.60   	 1.024667   	 7.153274  
18.65   	 1.024217   	 7.129835  
18.70   	 1.023737   	 7.105600  
18.75   	 1.023242   	 7.080926  
18.80   	 1.022744   	 7.056074  
18.85   	 1.022251   	 7.031230  
18.90   	 1.021771   	 7.006563  
18.95   	 1.021309   	 6.982182  
19.00   	 1.020872   	 6.958264  
