logMdot 	 Edot/LEdd   	 log10(Ts)  
17.20   	 1.017036   	 7.164684  
17.25   	 1.017433   	 7.191311  
17.30   	 1.017862   	 7.215649  
17.35   	 1.018323   	 7.237605  
17.40   	 1.018817   	 7.257151  
17.45   	 1.019342   	 7.274291  
17.50   	 1.019893   	 7.289122  
17.55   	 1.020465   	 7.301668  
17.60   	 1.021050   	 7.312047  
17.65   	 1.021646   	 7.320321  
17.70   	 1.022239   	 7.326581  
17.75   	 1.022820   	 7.330931  
17.80   	 1.023378   	 7.333456  
17.85   	 1.023909   	 7.334186  
17.90   	 1.024407   	 7.333163  
17.95   	 1.024852   	 7.330468  
18.00   	 1.025243   	 7.326139  
18.05   	 1.025578   	 7.320166  
18.10   	 1.025843   	 7.312601  
18.15   	 1.026041   	 7.303458  
18.20   	 1.026168   	 7.292745  
18.25   	 1.026224   	 7.280479  
18.30   	 1.026202   	 7.266701  
18.35   	 1.026111   	 7.251399  
18.40   	 1.025950   	 7.234597  
18.45   	 1.025719   	 7.216352  
18.50   	 1.025426   	 7.196670  
18.55   	 1.025072   	 7.175605  
18.60   	 1.024667   	 7.153275  
18.65   	 1.024217   	 7.129839  
18.70   	 1.023737   	 7.105594  
18.75   	 1.023242   	 7.080927  
18.80   	 1.022744   	 7.056070  
18.85   	 1.022251   	 7.031236  
18.90   	 1.021771   	 7.006557  
18.95   	 1.021308   	 6.982185  
19.00   	 1.020871   	 6.958266  
