logMdot 	 Edot/LEdd    	 log10(Ts)   
19.00   	 1.02132889  	 6.94402072 
18.90   	 1.02225519  	 6.99217875 
18.80   	 1.02329881  	 7.04233994 
18.70   	 1.02441543  	 7.09343113 
18.60   	 1.02554131  	 7.14406559 
18.50   	 1.02657153  	 7.19193450 
18.40   	 1.02740638  	 7.23503076 
18.30   	 1.02799186  	 7.27264466 
18.20   	 1.02829430  	 7.30449609 
18.10   	 1.02829436  	 7.33044884 
18.00   	 1.02798858  	 7.35041032 
17.90   	 1.02739134  	 7.36430262 
17.80   	 1.02653715  	 7.37202104 
17.70   	 1.02547890  	 7.37338714 
17.60   	 1.02428404  	 7.36809500 
17.50   	 1.02303083  	 7.35565117 
17.40   	 1.02178831  	 7.33538905 
17.30   	 1.02062357  	 7.30647688 
