logMdot 	 Edot/LEdd    	 log10(Ts)   
19.00   	 1.02088448  	 7.00375628 
18.90   	 1.02154692  	 7.04663360 
18.80   	 1.02222992  	 7.09012743 
18.70   	 1.02287059  	 7.13293704 
18.60   	 1.02338785  	 7.17328238 
18.50   	 1.02368581  	 7.20872910 
18.40   	 1.02371397  	 7.23801852 
18.30   	 1.02346058  	 7.26070430 
18.20   	 1.02293573  	 7.27648132 
18.10   	 1.02217087  	 7.28503855 
18.00   	 1.02121871  	 7.28600857 
17.90   	 1.02014576  	 7.27895614 
17.80   	 1.01902558  	 7.26339563 
17.70   	 1.01792763  	 7.23888359 
17.60   	 1.01690704  	 7.20519164 
17.50   	 1.01599836  	 7.16248077 
