logMdot 	 Edot/LEdd    	 log10(Ts)   
17.40   	 1.01301972  	 7.13573734 
17.50   	 1.01393841  	 7.18064447 
17.60   	 1.01488779  	 7.21952088 
17.70   	 1.01603514  	 7.24996791 
17.80   	 1.01738141  	 7.27156055 
17.90   	 1.01870743  	 7.28516033 
18.00   	 1.01998934  	 7.29073361 
18.10   	 1.02117454  	 7.28853719 
18.20   	 1.02217740  	 7.27897199 
18.30   	 1.02294752  	 7.26231677 
18.40   	 1.02343351  	 7.23888201 
18.50   	 1.02361225  	 7.20896155 
18.60   	 1.02348603  	 7.17299065 
18.70   	 1.02310044  	 7.13222337 
18.80   	 1.02255315  	 7.08909069 
18.90   	 1.02193086  	 7.04536860 
19.00   	 1.02130180  	 7.00232734 
