logMdot 	 Edot/LEdd    	 log10(Ts)   
17.20   	 1.01703600  	 7.16468200 
17.25   	 1.01742517  	 7.19139489 
17.30   	 1.01785500  	 7.21570000 
17.35   	 1.01831713  	 7.23763821 
17.40   	 1.01881254  	 7.25717363 
17.45   	 1.01933801  	 7.27432445 
17.50   	 1.01988970  	 7.28914014 
17.55   	 1.02046235  	 7.30168846 
17.60   	 1.02104938  	 7.31205486 
17.65   	 1.02164315  	 7.32033009 
17.70   	 1.02223697  	 7.32659635 
17.75   	 1.02281787  	 7.33094931 
17.80   	 1.02337854  	 7.33345577 
17.85   	 1.02390974  	 7.33417927 
17.90   	 1.02440149  	 7.33318422 
17.95   	 1.02484810  	 7.33049169 
18.00   	 1.02524094  	 7.32614714 
18.05   	 1.02557375  	 7.32017899 
18.10   	 1.02584143  	 7.31261052 
18.15   	 1.02604014  	 7.30346123 
18.20   	 1.02616725  	 7.29274849 
18.25   	 1.02622137  	 7.28048881 
18.30   	 1.02620226  	 7.26669902 
18.35   	 1.02611078  	 7.25139757 
18.40   	 1.02594877  	 7.23460594 
18.45   	 1.02571901  	 7.21635072 
18.50   	 1.02542518  	 7.19666770 
18.55   	 1.02507202  	 7.17561027 
18.60   	 1.02466591  	 7.15327174 
18.65   	 1.02421618  	 7.12983102 
18.70   	 1.02373647  	 7.10559667 
18.75   	 1.02324166  	 7.08091991 
18.80   	 1.02274354  	 7.05606763 
18.85   	 1.02225082  	 7.03122793 
18.90   	 1.02177047  	 7.00655233 
18.95   	 1.02130872  	 6.98218308 
19.00   	 1.02087109  	 6.95825724 
