logMdot 	 Edot/LEdd    	 log10(Ts)   
17.00   	 1.01348592  	 7.07691842 
17.01   	 1.01355020  	 7.08288298 
17.02   	 1.01363023  	 7.08858387 
17.03   	 1.01370392  	 7.09435088 
17.04   	 1.01377866  	 7.10007342 
17.05   	 1.01385446  	 7.10575093 
17.10   	 1.01424989  	 7.13343685 
17.15   	 1.01467413  	 7.15986339 
17.20   	 1.01512894  	 7.18487530 
17.25   	 1.01561579  	 7.20829411 
17.30   	 1.01613558  	 7.22994420 
17.40   	 1.01727375  	 7.26738617 
17.50   	 1.01853189  	 7.29655230 
17.60   	 1.01987805  	 7.31746254 
17.70   	 1.02125972  	 7.33051993 
17.75   	 1.02194311  	 7.33425994 
17.80   	 1.02260903  	 7.33621974 
17.90   	 1.02385097  	 7.33499247 
18.00   	 1.02491249  	 7.32715812 
18.10   	 1.02573085  	 7.31293787 
18.20   	 1.02625949  	 7.29248925 
18.25   	 1.02640582  	 7.27997061 
18.30   	 1.02647139  	 7.26594346 
18.40   	 1.02636025  	 7.23344099 
18.50   	 1.02593932  	 7.19517763 
18.60   	 1.02524226  	 7.15153676 
18.70   	 1.02433904  	 7.10369355 
18.75   	 1.02384657  	 7.07895929 
18.80   	 1.02334510  	 7.05406624 
18.90   	 1.02235210  	 7.00451549 
19.00   	 1.02142089  	 6.95624143 
