logMdot 	 Edot/LEdd    	 log10(Ts)   
17.30   	 1.01788500  	 7.26537700 
17.35   	 1.01834600  	 7.28584600 
17.40   	 1.01884200  	 7.30407000 
17.50   	 1.01991856  	 7.33374336 
17.55   	 1.02049254  	 7.34534195 
17.60   	 1.02108113  	 7.35488109 
17.65   	 1.02167669  	 7.36244525 
17.70   	 1.02227257  	 7.36810955 
17.85   	 1.02395294  	 7.37445006 
17.90   	 1.02444888  	 7.37318916 
17.95   	 1.02489852  	 7.37030829 
18.00   	 1.02529368  	 7.36584706 
18.05   	 1.02563010  	 7.35980497 
18.10   	 1.02590161  	 7.35221046 
18.15   	 1.02610434  	 7.34307806 
18.20   	 1.02623565  	 7.33242058 
18.25   	 1.02629415  	 7.32025026 
18.30   	 1.02627961  	 7.30658006 
18.35   	 1.02619286  	 7.29142464 
18.40   	 1.02603572  	 7.27480170 
18.45   	 1.02581091  	 7.25673351 
18.50   	 1.02552202  	 7.23725034 
18.55   	 1.02517361  	 7.21639806 
18.60   	 1.02477177  	 7.19426005 
18.65   	 1.02432574  	 7.17101238 
18.70   	 1.02384990  	 7.14698913 
18.75   	 1.02335999  	 7.12257164 
18.80   	 1.02286777  	 7.09802573 
18.85   	 1.02238169  	 7.07352969 
18.90   	 1.02190856  	 7.04922899 
18.95   	 1.02145449  	 7.02526164 
19.00   	 1.02102499  	 7.00176165 
