logMdot (g/s) 	 Tb (K)      	 rhob (g/cm3) 	 Pb (dyne/cm2) 	 Lb (erg/s)  	 Lb* (erg/s) 	 Rph (cm)    	 Tph (K)     	 rhoph (g/cm3) 	 Lph (erg/s) 	 Lph* (erg/s) 	 rs (cm)     	 tflow (s)   	 tsound (s)  	 tsound2 (s) 	 Tau (s)    
17.20 		 1.200983e+11 	 1.295197e+09 	 1.594133e+22 	 5.890463e+38 	 3.851288e+38 	 1.818285e+12 	 6.273933e+06 	 8.444475e-07 	 3.650056e+38 	 3.566613e+38 	 5.964310e+06 	 7.457876e+03 	 7.457876e+03 	 1.981528e-01 	 4.073892e-01
17.25 		 1.200150e+11 	 1.298473e+09 	 1.597969e+22 	 5.945870e+38 	 3.886087e+38 	 1.835203e+12 	 6.244576e+06 	 8.377631e-07 	 3.649273e+38 	 3.566621e+38 	 5.622123e+06 	 6.640861e+03 	 6.640861e+03 	 1.811317e-01 	 3.826591e-01
17.30 		 1.199597e+11 	 1.302017e+09 	 1.601808e+22 	 6.006978e+38 	 3.925065e+38 	 1.865687e+12 	 6.192834e+06 	 8.224727e-07 	 3.647905e+38 	 3.566639e+38 	 5.346270e+06 	 5.919951e+03 	 5.919951e+03 	 1.674977e-01 	 3.624698e-01
17.35 		 1.200075e+11 	 1.301839e+09 	 1.583558e+22 	 6.071937e+38 	 3.968349e+38 	 1.894110e+12 	 6.145564e+06 	 8.102736e-07 	 3.646658e+38 	 3.566644e+38 	 5.125396e+06 	 5.226224e+03 	 5.226224e+03 	 1.565714e-01 	 3.433350e-01
17.40 		 1.199799e+11 	 1.306195e+09 	 1.588389e+22 	 6.147301e+38 	 4.017115e+38 	 1.928235e+12 	 6.090523e+06 	 7.961499e-07 	 3.645208e+38 	 3.566649e+38 	 4.954893e+06 	 4.667142e+03 	 4.667142e+03 	 1.479956e-01 	 3.268867e-01
17.45 		 1.200047e+11 	 1.310967e+09 	 1.593698e+22 	 6.229834e+38 	 4.071494e+38 	 1.969452e+12 	 6.025618e+06 	 7.794370e-07 	 3.643514e+38 	 3.566642e+38 	 4.829674e+06 	 4.177902e+03 	 4.177902e+03 	 1.414355e-01 	 3.131241e-01
17.50 		 1.200101e+11 	 1.316381e+09 	 1.600181e+22 	 6.322966e+38 	 4.132458e+38 	 2.018789e+12 	 5.950722e+06 	 7.603265e-07 	 3.641570e+38 	 3.566627e+38 	 4.745345e+06 	 3.739739e+03 	 3.739739e+03 	 1.366136e-01 	 3.020416e-01
17.55 		 1.200080e+11 	 1.318677e+09 	 1.586849e+22 	 6.427487e+38 	 4.200732e+38 	 2.077438e+12 	 5.865282e+06 	 7.388249e-07 	 3.639370e+38 	 3.566599e+38 	 4.699145e+06 	 3.305223e+03 	 3.305223e+03 	 1.333427e-01 	 2.936106e-01
17.60 		 1.199964e+11 	 1.325667e+09 	 1.596712e+22 	 6.544842e+38 	 4.277210e+38 	 2.151029e+12 	 5.763078e+06 	 7.125783e-07 	 3.636759e+38 	 3.566541e+38 	 4.688874e+06 	 2.962993e+03 	 2.962993e+03 	 1.314745e-01 	 2.882839e-01
17.65 		 1.199972e+11 	 1.329787e+09 	 1.587936e+22 	 6.675589e+38 	 4.362671e+38 	 2.230866e+12 	 5.657736e+06 	 6.873480e-07 	 3.634109e+38 	 3.566468e+38 	 4.711889e+06 	 2.626625e+03 	 2.626625e+03 	 1.308632e-01 	 2.847994e-01
17.70 		 1.200042e+11 	 1.338794e+09 	 1.602827e+22 	 6.821639e+38 	 4.458257e+38 	 2.328010e+12 	 5.537659e+06 	 6.585435e-07 	 3.631111e+38 	 3.566364e+38 	 4.768972e+06 	 2.363900e+03 	 2.363900e+03 	 1.314981e-01 	 2.843422e-01
17.75 		 1.199982e+11 	 1.345331e+09 	 1.600679e+22 	 6.985616e+38 	 4.565303e+38 	 2.443436e+12 	 5.403920e+06 	 6.267862e-07 	 3.627822e+38 	 3.566209e+38 	 4.859073e+06 	 2.103846e+03 	 2.103846e+03 	 1.333130e-01 	 2.867030e-01
17.80 		 1.200127e+11 	 1.353290e+09 	 1.602780e+22 	 7.168088e+38 	 4.684852e+38 	 2.574152e+12 	 5.263596e+06 	 5.949525e-07 	 3.624437e+38 	 3.566029e+38 	 4.983034e+06 	 1.879004e+03 	 1.879004e+03 	 1.363195e-01 	 2.915187e-01
17.85 		 1.199964e+11 	 1.359301e+09 	 1.590296e+22 	 7.373787e+38 	 4.818945e+38 	 2.726919e+12 	 5.112561e+06 	 5.614554e-07 	 3.620859e+38 	 3.565801e+38 	 5.142161e+06 	 1.660970e+03 	 1.660970e+03 	 1.405511e-01 	 2.993160e-01
17.90 		 1.199998e+11 	 1.370921e+09 	 1.603965e+22 	 7.602962e+38 	 4.968791e+38 	 2.910445e+12 	 4.947795e+06 	 5.252735e-07 	 3.617001e+38 	 3.565494e+38 	 5.340177e+06 	 1.493780e+03 	 1.493780e+03 	 1.461365e-01 	 3.108459e-01
17.95 		 1.200005e+11 	 1.377388e+09 	 1.585751e+22 	 7.859537e+38 	 5.136488e+38 	 3.116954e+12 	 4.779647e+06 	 4.902916e-07 	 3.613187e+38 	 3.565170e+38 	 5.578623e+06 	 1.316917e+03 	 1.316917e+03 	 1.531341e-01 	 3.253623e-01
18.00 		 1.199991e+11 	 1.390130e+09 	 1.596236e+22 	 8.146842e+38 	 5.324219e+38 	 3.355994e+12 	 4.605077e+06 	 4.552942e-07 	 3.609329e+38 	 3.564808e+38 	 5.862464e+06 	 1.182135e+03 	 1.182135e+03 	 1.617315e-01 	 3.437902e-01
18.05 		 1.199952e+11 	 1.402188e+09 	 1.598242e+22 	 8.468624e+38 	 5.534417e+38 	 3.638704e+12 	 4.421413e+06 	 4.193762e-07 	 3.605355e+38 	 3.564367e+38 	 6.197153e+06 	 1.055621e+03 	 1.055621e+03 	 1.721448e-01 	 3.670817e-01
18.10 		 1.200063e+11 	 1.414038e+09 	 1.594345e+22 	 8.827751e+38 	 5.769396e+38 	 3.958906e+12 	 4.237481e+06 	 3.855017e-07 	 3.601551e+38 	 3.563949e+38 	 6.588512e+06 	 9.401108e+02 	 9.401108e+02 	 1.846164e-01 	 3.950162e-01
18.15 		 1.200066e+11 	 1.426438e+09 	 1.588285e+22 	 9.230577e+38 	 6.032672e+38 	 4.336797e+12 	 4.047722e+06 	 3.516690e-07 	 3.597724e+38 	 3.563465e+38 	 7.045023e+06 	 8.361451e+02 	 8.361451e+02 	 1.994989e-01 	 4.294295e-01
18.20 		 1.200041e+11 	 1.443630e+09 	 1.601645e+22 	 9.681678e+38 	 6.327421e+38 	 4.774945e+12 	 3.856610e+06 	 3.192662e-07 	 3.594028e+38 	 3.562974e+38 	 7.575838e+06 	 7.532009e+02 	 7.532009e+02 	 2.171920e-01 	 4.709286e-01
