logMdot 	 Edot/LEdd  	 log10(Ts) 
17.95   	 1.024513   	 7.326960  
18.00   	 1.024887   	 7.321963  
18.05   	 1.025206   	 7.316098  
18.10   	 1.025484   	 7.308488  
18.15   	 1.025685   	 7.299345  
18.20   	 1.025816   	 7.288609  
18.25   	 1.025866   	 7.276365  
18.30   	 1.025850   	 7.262548  
18.35   	 1.025759   	 7.247248  
18.40   	 1.025601   	 7.230439  
18.45   	 1.025379   	 7.212209  
18.50   	 1.025088   	 7.192513  
18.55   	 1.024742   	 7.171482  
18.60   	 1.024345   	 7.149243  
18.65   	 1.023909   	 7.125998  
18.70   	 1.023451   	 7.102189  
18.75   	 1.022984   	 7.078097  
18.80   	 1.022514   	 7.053857  
18.85   	 1.022051   	 7.029744  
18.90   	 1.021605   	 7.005876  
18.95   	 1.021177   	 6.982368  
19.00   	 1.020776   	 6.959367  
