logMdot 	 Edot/LEdd   	 log10(Ts)  
17.15   	 1.016676   	 7.135642  
17.20   	 1.017036   	 7.164689  
17.25   	 1.017426   	 7.191381  
17.30   	 1.017862   	 7.215653  
17.35   	 1.018323   	 7.237599  
17.40   	 1.018818   	 7.257140  
17.45   	 1.019342   	 7.274288  
17.50   	 1.019893   	 7.289117  
17.55   	 1.020465   	 7.301668  
17.60   	 1.021056   	 7.312023  
17.65   	 1.021645   	 7.320324  
17.70   	 1.022239   	 7.326580  
17.75   	 1.022821   	 7.330931  
17.80   	 1.023379   	 7.333441  
17.85   	 1.023908   	 7.334192  
17.90   	 1.024407   	 7.333163  
17.95   	 1.024851   	 7.330479  
18.00   	 1.025243   	 7.326140  
18.05   	 1.025578   	 7.320166  
18.10   	 1.025841   	 7.312603  
18.15   	 1.026041   	 7.303453  
18.20   	 1.026168   	 7.292743  
18.25   	 1.026224   	 7.280482  
18.30   	 1.026202   	 7.266703  
18.35   	 1.026111   	 7.251399  
18.40   	 1.025950   	 7.234594  
18.45   	 1.025719   	 7.216354  
18.50   	 1.025426   	 7.196669  
18.55   	 1.025072   	 7.175615  
18.60   	 1.024667   	 7.153281  
18.65   	 1.024217   	 7.129834  
18.70   	 1.023737   	 7.105598  
18.75   	 1.023242   	 7.080928  
18.80   	 1.022744   	 7.056069  
18.85   	 1.022251   	 7.031225  
18.90   	 1.021771   	 7.006553  
18.95   	 1.021309   	 6.982180  
19.00   	 1.020871   	 6.958263  
