logMdot 	 Edot/LEdd  	 log10(Ts) 
17.20   	 1.016781   	 7.158539  
17.25   	 1.017172   	 7.185373  
17.30   	 1.017594   	 7.209933  
17.35   	 1.018050   	 7.232056  
17.40   	 1.018540   	 7.251765  
17.45   	 1.019052   	 7.269139  
17.50   	 1.019589   	 7.284154  
17.55   	 1.020167   	 7.296797  
17.60   	 1.020748   	 7.307296  
17.65   	 1.021310   	 7.315797  
17.70   	 1.021916   	 7.322102  
17.75   	 1.022489   	 7.326560  
17.80   	 1.023044   	 7.329132  
17.85   	 1.023572   	 7.329913  
17.90   	 1.024058   	 7.328967  
17.95   	 1.024501   	 7.326301  
18.00   	 1.024891   	 7.321983  
18.05   	 1.025204   	 7.316068  
18.10   	 1.025486   	 7.308470  
18.15   	 1.025682   	 7.299326  
18.20   	 1.025808   	 7.288611  
18.25   	 1.025866   	 7.276330  
18.30   	 1.025849   	 7.262536  
18.35   	 1.025758   	 7.247213  
18.40   	 1.025600   	 7.230405  
18.45   	 1.025375   	 7.212143  
18.50   	 1.025085   	 7.192434  
18.55   	 1.024738   	 7.171361  
18.60   	 1.024340   	 7.149030  
18.65   	 1.023896   	 7.125559  
18.70   	 1.023425   	 7.101350  
18.75   	 1.022944   	 7.076821  
18.80   	 1.022456   	 7.052025  
18.85   	 1.021971   	 7.027228  
18.90   	 1.021503   	 7.002676  
18.95   	 1.021053   	 6.978413  
19.00   	 1.020626   	 6.954604  
