logMdot 	 Edot/LEdd  	 log10(Ts) 
17.25   	 1.017434   	 7.191296  
17.30   	 1.017863   	 7.215615  
17.35   	 1.018324   	 7.237570  
17.40   	 1.018818   	 7.257120  
17.45   	 1.019357   	 7.274188  
17.50   	 1.019894   	 7.289108  
17.55   	 1.020469   	 7.301633  
17.60   	 1.021052   	 7.312053  
17.65   	 1.021649   	 7.320325  
17.70   	 1.022239   	 7.326606  
17.75   	 1.022820   	 7.330958  
17.80   	 1.023385   	 7.333460  
17.85   	 1.023915   	 7.334197  
17.90   	 1.024406   	 7.333194  
17.95   	 1.024855   	 7.330509  
18.00   	 1.025247   	 7.326170  
18.05   	 1.025582   	 7.320207  
18.10   	 1.025850   	 7.312647  
18.15   	 1.026049   	 7.303505  
18.20   	 1.026176   	 7.292805  
18.25   	 1.026229   	 7.280560  
18.30   	 1.026211   	 7.266784  
18.35   	 1.026120   	 7.251492  
18.40   	 1.025960   	 7.234715  
18.45   	 1.025730   	 7.216489  
18.50   	 1.025437   	 7.196826  
18.55   	 1.025086   	 7.175780  
18.60   	 1.024679   	 7.153451  
18.65   	 1.024231   	 7.130018  
18.70   	 1.023756   	 7.105881  
18.75   	 1.023258   	 7.081144  
18.80   	 1.022762   	 7.056345  
18.85   	 1.022272   	 7.031558  
18.90   	 1.021795   	 7.006946  
18.95   	 1.021336   	 6.982633  
19.00   	 1.020901   	 6.958759  
