logMdot 	 Edot/LEdd   	 log10(Ts)  
17.30   	 1.017885   	 7.265377  
17.35   	 1.018346   	 7.285846  
17.40   	 1.018842   	 7.304070  
17.50   	 1.019925   	 7.333708  
17.55   	 1.020496   	 7.345318  
17.60   	 1.021092   	 7.354845  
17.65   	 1.021683   	 7.362432  
17.70   	 1.022278   	 7.368074  
17.85   	 1.023951   	 7.374462  
17.90   	 1.024450   	 7.373185  
17.95   	 1.024900   	 7.370300  
18.00   	 1.025295   	 7.365832  
18.05   	 1.025630   	 7.359772  
18.10   	 1.025903   	 7.352212  
18.15   	 1.026104   	 7.343075  
18.20   	 1.026238   	 7.332416  
18.25   	 1.026297   	 7.320242  
18.30   	 1.026282   	 7.306578  
18.35   	 1.026193   	 7.291430  
18.40   	 1.026037   	 7.274795  
18.45   	 1.025812   	 7.256740  
18.50   	 1.025521   	 7.237234  
18.55   	 1.025174   	 7.216388  
18.60   	 1.024772   	 7.194254  
18.65   	 1.024327   	 7.171011  
18.70   	 1.023847   	 7.146919  
18.75   	 1.023360   	 7.122557  
18.80   	 1.022861   	 7.097947  
18.85   	 1.022382   	 7.073540  
18.90   	 1.021910   	 7.049240  
18.95   	 1.021455   	 7.025271  
19.00   	 1.021025   	 7.001765  
